,start,end,IS_strand,max_alignment_length,length,cluster_id,line,gen_id,closest_gene_5_prime,position_5_prime,distance_5_prime,closest_gene_3_prime,position_3_prime,distance_3_prime
0,476928,480020,reverse,3093,3093,0,L01-1,1,yjeE,470186,6742,rpsR,503080,23060
1,557167,560259,reverse,3093,3093,1,L01-1,1,ppa,526892,30275,valS,561324,1065
2,1187831,1192502,forward,3093,4672,2,L01-1,1,leuS,1175771,12060,asnS,1205042,12540
3,1405123,1408215,forward,3093,3093,3,L01-1,1,infA,1266184,138939,fldA,1476321,68106
4,1499230,1503892,reverse,3093,4663,4,L01-1,1,lnt,1496376,2854,fabA,1519050,15158
5,1986448,1991110,forward,3093,4663,5,L01-1,1,fabI,1795626,190822,tyrS,2033318,42208
6,2306486,2311148,reverse,3093,4663,6,L01-1,1,pgsA,2291981,14505,metG,2408902,97754
7,3373645,3376737,reverse,3093,3093,7,L01-1,1,rpoD,3328645,45000,rnpB,3387077,10340
8,3866530,3869621,forward,3092,3092,8,L01-1,1,gpsA,3856399,10131,kdtA,3884379,14758
9,3964094,3968754,forward,3093,4661,9,L01-1,1,yidC,3962477,1617,glmS,3989948,21194
10,476913,480004,reverse,3093,3092,0,L01-1,2,yjeE,470171,6742,rpsR,503065,23061
11,552516,555608,reverse,3093,3093,1,L01-1,2,ppa,526877,25639,valS,556362,754
12,706509,709600,reverse,3092,3092,2,L01-1,2,imp,674400,32109,ftsL,711421,1821
13,1185980,1190642,forward,3093,4663,3,L01-1,2,leuS,1173911,12069,asnS,1191166,524
14,1203708,1206800,reverse,3093,3093,4,L01-1,2,asnS,1192565,11143,mukB,1217546,10746
15,1406378,1409469,forward,3092,3092,5,L01-1,2,infA,1267430,138948,fldA,1477568,68099
16,1500476,1505137,reverse,3093,4662,6,L01-1,2,lnt,1497622,2854,fabA,1520294,15157
17,1676813,1679905,reverse,3093,3093,7,L01-1,2,trmU,1666748,10065,pth,1708062,28157
18,1957317,1960409,forward,3093,3093,8,L01-1,2,fabI,1799973,157344,tyrS,2077346,116937
19,1993896,1996989,forward,3094,3094,9,L01-1,2,fabI,1799973,193923,tyrS,2077346,80357
20,2030477,2035139,forward,3093,4663,10,L01-1,2,fabI,1799973,230504,tyrS,2077346,42207
21,2350513,2355175,reverse,3093,4663,11,L01-1,2,pgsA,2336010,14503,metG,2452928,97753
22,2705358,2708449,forward,3092,3092,12,L01-1,2,fabB,2696449,8909,gltX,2755027,46578
23,3416549,3419640,reverse,3092,3092,13,L01-1,2,rpoD,3371551,44998,rnpB,3429977,10337
24,3747505,3752167,forward,3093,4663,14,L01-1,2,ftsY,3738685,8820,glyS,3850890,98723
25,3914099,3917190,forward,3093,3092,15,L01-1,2,gpsA,3903970,10129,kdtA,3931949,14759
26,4011660,4016322,forward,3093,4663,16,L01-1,2,yidC,4010044,1616,glmS,4037515,21193
27,476924,480016,reverse,3093,3093,0,L01-1,3,yjeE,470183,6741,rpsR,503076,23060
