,line,gen_id,prime_end,distance,initial_weight,factor,normalized_weight,cumulative_weight
1941,L09-4,1,distance_5_prime,23,23,8,0.0002721885438208763,0.0002721885438208763
1953,L09-4,2,distance_5_prime,23,23,12,0.0003614012942356493,0.0006335898380565256
1891,L09-3,1,distance_5_prime,23,23,8,0.0002497143213877602,0.0008833041594442858
1865,L09-2,2,distance_5_prime,23,23,12,0.00033623477958957424,0.00121953893903386
1905,L09-3,2,distance_5_prime,23,23,12,0.00022974498306879362,0.0014492839221026538
1811,L09-1,1,distance_5_prime,23,23,8,0.0002497143213877602,0.001698998243490414
1824,L09-1,2,distance_5_prime,23,23,12,0.00031016672585307086,0.0020091649693434847
1855,L09-2,1,distance_5_prime,23,23,8,0.0002721885438208763,0.002281353513164361
4658,L11-3,2,distance_3_prime,45,45,12,0.000621050864065767,0.002902404377230128
4703,L11-4,2,distance_3_prime,45,45,12,0.00032275667672990106,0.003225161053960029
4608,L11-2,2,distance_3_prime,45,45,12,0.0003731384537142478,0.003598299507674277
4646,L11-3,1,distance_3_prime,45,45,8,0.00040090024376962047,0.003999199751443898
4540,L11-1,1,distance_3_prime,45,45,8,0.00040090024376962047,0.0044000999952135186
4589,L11-2,1,distance_3_prime,45,45,8,0.00040090024376962047,0.004801000238983139
4555,L11-1,2,distance_3_prime,45,45,12,0.00048017200828385636,0.005281172247266996
4684,L11-4,1,distance_3_prime,45,45,8,0.00040090024376962047,0.005682072491036617
2604,L02-1,2,distance_3_prime,236,236,12,0.0019099607284557845,0.0075920332194924015
2743,L02-3,2,distance_3_prime,236,236,12,0.0017585321720728698,0.009350565391565271
2584,L02-1,1,distance_3_prime,236,236,8,0.0021388799202451555,0.011489445311810427
2720,L02-3,1,distance_3_prime,236,236,8,0.0021388799202451555,0.013628325232055583
2810,L02-4,2,distance_3_prime,236,236,12,0.0019705119016970615,0.015598837133752645
2787,L02-4,1,distance_3_prime,236,236,8,0.0021388799202451555,0.0177377170539978
2673,L02-2,2,distance_3_prime,236,236,12,0.0015143688579027917,0.019252085911900592
2651,L02-2,1,distance_3_prime,236,236,8,0.0021388799202451555,0.021390965832145746
4492,L10-4,2,distance_3_prime,327,327,12,0.0031529443148573264,0.02454391014700307
1391,L06-4,2,distance_5_prime,349,349,12,0.002606945130901263,0.027150855277904333
2659,L02-2,2,distance_3_prime,374,374,12,0.0023998896307442547,0.029550744908648587
4110,L08-3,2,distance_3_prime,376,376,12,0.0038178208974925243,0.033368565806141115
852,L04-3,2,distance_5_prime,401,401,12,0.0014353232087169338,0.03480388901485805
1821,L09-1,2,distance_5_prime,405,405,12,0.005461631476977987,0.040265520491836036
831,L04-3,2,distance_5_prime,466,466,12,0.001667981584194741,0.041933502076030776
3806,L07-1,2,distance_3_prime,493,493,12,0.004521014003221872,0.04645451607925265
2382,L01-1,2,distance_3_prime,524,524,12,0.005070918668529014,0.051525434747781665
1959,L09-4,2,distance_5_prime,554,554,12,0.008705057261154336,0.060230492008936
1861,L09-2,1,distance_5_prime,555,555,8,0.006568027905242884,0.06679851991417889
1832,L09-1,2,distance_5_prime,555,555,12,0.007484457949932797,0.07428297786411169
1898,L09-3,1,distance_5_prime,555,555,8,0.0060257151465307355,0.08030869301064242
1915,L09-3,2,distance_5_prime,555,555,12,0.005543846330573064,0.08585253934121548
1818,L09-1,1,distance_5_prime,555,555,8,0.0060257151465307355,0.09187825448774621
1872,L09-2,2,distance_5_prime,555,555,12,0.00811349142053103,0.09999174590827724
1947,L09-4,1,distance_5_prime,555,555,8,0.006568027905242884,0.10655977381352012
1960,L09-4,2,distance_5_prime,563,563,12,0.00884647515889872,0.11540624897241884
1948,L09-4,1,distance_5_prime,564,564,8,0.0066745364658684445,0.12208078543828729
1862,L09-2,1,distance_5_prime,564,564,8,0.0066745364658684445,0.12875532190415573
1819,L09-1,1,distance_5_prime,564,564,8,0.006123429446204207,0.13487875135035993
1833,L09-1,2,distance_5_prime,564,564,12,0.007605827538310086,0.14248457888867
1873,L09-2,2,distance_5_prime,564,564,12,0.008245061551674778,0.1507296404403448
