# `is_start`: the ID of IS corresponding to the start of the interval. -1 if no corresponding IS.
# Data of {L04-1, gen3} is removed from the main analyses due to sequence divergence between G08 and G20, making analyese unreliable.
depth,length,start,end,is_start,is_end,line,gen_id
0,4947,552531,560570,3,6,L01-1,2
2,33490,1952960,1991112,16,17,L01-1,2
0,4208,2661331,2665538,21,22,L01-1,2
0,462,552054,552515,3,4,L01-1,3
0,1404,1676263,1680759,18,21,L01-1,3
0,595,1791833,1792427,24,25,L01-1,3
0,88463,1838803,1927265,26,27,L01-1,3
0,11109,2258554,2269662,36,37,L01-1,3
0,8305,2355177,2363481,38,40,L01-1,3
0,4485,2446535,2451019,41,42,L01-1,3
0,1588,2708450,2710037,43,45,L01-1,3
0,18437,3110164,3128600,48,49,L01-1,3
0,170,3752168,3752337,52,54,L01-1,3
0,25550,531618,560260,3,4,L01-2,2
2,16166,571296,587461,6,7,L01-2,2
0,2463,1192503,1194965,8,10,L01-2,2
0,102,2306386,2311150,19,20,L01-2,2
0,1159,3523879,3525037,24,25,L01-2,2
0,13258,539480,555830,5,8,L01-2,3
0,241,2067433,2067673,21,22,L01-2,3
0,27020,3721067,3748086,35,36,L01-2,3
0,150,3867105,3870345,38,40,L01-2,3
0,5427,3967892,3977981,42,44,L01-2,3
0,8281,549161,560534,4,7,L01-3,2
0,6838,1181611,1193120,8,11,L01-3,2
0,9761,1839946,1849706,19,20,L01-3,2
0,1408,3477754,3479161,31,32,L01-3,2
0,1126,1045807,1046932,7,8,L01-3,3
0,1106,1565290,1566395,15,17,L01-3,3
0,177,1835424,1835600,22,23,L01-3,3
0,13667,1964864,1978530,27,28,L01-3,3
0,8431,2301646,2310076,30,32,L01-3,3
0,970,3146217,3147186,40,41,L01-3,3
0,25214,3352380,3380686,42,45,L01-3,3
0,4555,3864967,3869521,48,49,L01-3,3
0,13516,3936306,3949821,51,53,L01-3,3
0,26452,2311149,2337600,17,19,L01-4,2
0,2182,434044,436225,4,5,L01-4,3
2,129960,2317293,2447252,26,28,L01-4,3
0,1601,2557939,2559539,30,31,L01-4,3
0,7683,3354945,3362627,37,38,L01-4,3
0,1415,3471263,3472677,40,42,L01-4,3
