group,start,end,depth,length,start_fix,end_fix,is_start,is_end,line,gen_id
1,1,549437,1.0,549437,1,552530,-1,3,L01-1,2
2,549438,554384,0.0,4947,552531,560570,3,6,L01-1,2
3,554385,2633390,1.0,2079006,560571,2661330,6,21,L01-1,2
4,2633391,2637598,0.0,4208,2661331,2665538,21,22,L01-1,2
5,2637599,3965065,1.0,1327467,2665539,4003851,22,-1,L01-1,2
1,1,548952,1.0,548952,1,552044,-1,3,L01-1,3
2,548953,549414,0.0,462,552045,552506,3,4,L01-1,3
3,549415,1651448,1.0,1102034,555600,1676235,4,18,L01-1,3
4,1651449,1652852,0.0,1404,1676236,1680732,18,21,L01-1,3
5,1652853,1763922,1.0,111070,1680733,1791802,21,24,L01-1,3
6,1763923,1764517,0.0,595,1791803,1792397,24,25,L01-1,3
7,1764518,1810890,1.0,46373,1792398,1838770,25,26,L01-1,3
8,1810891,1899353,0.0,88463,1838771,1927233,26,27,L01-1,3
9,1899354,2186298,1.0,286945,1927234,2221934,27,34,L01-1,3
10,2186299,2197407,0.0,11109,2221935,2233043,34,35,L01-1,3
11,2197408,2278258,1.0,80851,2233044,2318557,35,36,L01-1,3
12,2278259,2286563,0.0,8305,2318558,2326862,36,38,L01-1,3
13,2286564,2369615,1.0,83052,2326863,2409914,38,39,L01-1,3
14,2369616,2374099,0.0,4484,2409915,2414398,39,40,L01-1,3
15,2374100,2628432,1.0,254333,2414399,2668731,40,41,L01-1,3
16,2628433,2630020,0.0,1588,2671824,2673411,41,43,L01-1,3
17,2630021,3030144,1.0,400124,2673412,3073535,43,46,L01-1,3
18,3030145,3048581,0.0,18437,3073536,3091972,46,47,L01-1,3
19,3048582,3664385,1.0,615804,3091973,3710868,47,50,L01-1,3
20,3664386,3664555,0.0,170,3715532,3715701,50,52,L01-1,3
21,3664556,3955875,1.0,291320,3715702,4014776,52,-1,L01-1,3
1,1,528524,1.0,528524,1,531617,-1,3,L01-2,2
2,528525,554074,0.0,25550,531618,560260,3,4,L01-2,2
3,554075,565109,1.0,11035,560261,571295,4,6,L01-2,2
4,565110,581265,2.0,16156,571296,587451,6,7,L01-2,2
5,581266,1181644,1.0,600379,587452,1187830,7,8,L01-2,2
6,1181645,1184107,0.0,2463,1192503,1194965,8,10,L01-2,2
7,1184108,2283108,1.0,1099001,1194966,2306385,10,19,L01-2,2
8,2283109,2283210,0.0,102,2306386,2311150,19,20,L01-2,2
9,2283211,3492845,1.0,1209635,2311151,3523878,20,24,L01-2,2
10,3492846,3494004,0.0,1159,3523879,3525037,24,25,L01-2,2
11,3494005,3965065,1.0,471061,3525038,4003851,25,-1,L01-2,2
1,1,533294,1.0,533294,1,539479,-1,5,L01-2,3
2,533295,546552,0.0,13258,539480,555830,5,8,L01-2,3
3,546553,2039553,1.0,1493001,555831,2067432,8,21,L01-2,3
4,2039554,2039794,0.0,241,2067433,2067673,21,22,L01-2,3
5,2039795,3676157,1.0,1636363,2070767,3721066,22,35,L01-2,3
6,3676158,3703177,0.0,27020,3721067,3748086,35,36,L01-2,3
7,3703178,3822195,1.0,119018,3748087,3867104,36,38,L01-2,3
8,3822196,3822345,0.0,150,3867105,3870345,38,40,L01-2,3
9,3822346,3916798,1.0,94453,3870346,3967891,40,42,L01-2,3
10,3916799,3922225,0.0,5427,3967892,3977981,42,44,L01-2,3
11,3922226,3951910,1.0,29685,3977982,4007666,44,-1,L01-2,3
