# test_side, side of one-sided binary tests
start,end,mutation_count,mutations_per_bp,p_value,adjusted_p_value,significant,test_side
1,100000,11,0.00011,0.5052022054013499,0.9532680978523121,false,high
1001,101000,11,0.00011,0.5052022054013499,0.9532680978523121,false,high
2001,102000,11,0.00011,0.5052022054013499,0.9532680978523121,false,high
3001,103000,11,0.00011,0.5052022054013499,0.9532680978523121,false,high
4001,104000,11,0.00011,0.5052022054013499,0.9532680978523121,false,high
5001,105000,11,0.00011,0.5052022054013499,0.9532680978523121,false,high
6001,106000,10,0.0001,0.7388649558917662,0.9606209632283217,false,high
7001,107000,10,0.0001,0.7388649558917662,0.9606209632283217,false,high
8001,108000,10,0.0001,0.7388649558917662,0.9606209632283217,false,high
9001,109000,10,0.0001,0.7388649558917662,0.9606209632283217,false,high
10001,110000,10,0.0001,0.7388649558917662,0.9606209632283217,false,high
11001,111000,10,0.0001,0.7388649558917662,0.9606209632283217,false,high
12001,112000,10,0.0001,0.7388649558917662,0.9606209632283217,false,high
13001,113000,10,0.0001,0.7388649558917662,0.9606209632283217,false,high
14001,114000,10,0.0001,0.7388649558917662,0.9606209632283217,false,high
15001,115000,10,0.0001,0.7388649558917662,0.9606209632283217,false,high
16001,116000,10,0.0001,0.7388649558917662,0.9606209632283217,false,high
17001,117000,10,0.0001,0.7388649558917662,0.9606209632283217,false,high
18001,118000,10,0.0001,0.7388649558917662,0.9606209632283217,false,high
19001,119000,10,0.0001,0.7388649558917662,0.9606209632283217,false,high
20001,120000,10,0.0001,0.7388649558917662,0.9606209632283217,false,high
21001,121000,11,0.00011,0.5052022054013499,0.9532680978523121,false,high
22001,122000,11,0.00011,0.5052022054013499,0.9532680978523121,false,high
23001,123000,11,0.00011,0.5052022054013499,0.9532680978523121,false,high
24001,124000,11,0.00011,0.5052022054013499,0.9532680978523121,false,high
25001,125000,11,0.00011,0.5052022054013499,0.9532680978523121,false,high
26001,126000,12,0.00012,0.3184165163833452,0.9532680978523121,false,high
27001,127000,11,0.00011,0.5052022054013499,0.9532680978523121,false,high
28001,128000,11,0.00011,0.5052022054013499,0.9532680978523121,false,high
29001,129000,11,0.00011,0.5052022054013499,0.9532680978523121,false,high
30001,130000,11,0.00011,0.5052022054013499,0.9532680978523121,false,high
31001,131000,11,0.00011,0.5052022054013499,0.9532680978523121,false,high
32001,132000,11,0.00011,0.5052022054013499,0.9532680978523121,false,high
33001,133000,11,0.00011,0.5052022054013499,0.9532680978523121,false,high
34001,134000,11,0.00011,0.5052022054013499,0.9532680978523121,false,high
35001,135000,11,0.00011,0.5052022054013499,0.9532680978523121,false,high
36001,136000,13,0.00013,0.18526694128311155,0.9347879508847492,false,high
37001,137000,13,0.00013,0.18526694128311155,0.9347879508847492,false,high
38001,138000,14,0.00014,0.13163352674166134,0.8942543855948017,false,high
39001,139000,14,0.00014,0.13163352674166134,0.8942543855948017,false,high
40001,140000,14,0.00014,0.13163352674166134,0.8942543855948017,false,high
41001,141000,14,0.00014,0.13163352674166134,0.8942543855948017,false,high
42001,142000,14,0.00014,0.13163352674166134,0.8942543855948017,false,high
43001,143000,11,0.00011,0.5052022054013499,0.9532680978523121,false,high
44001,144000,10,0.0001,0.7388649558917662,0.9606209632283217,false,high
45001,145000,11,0.00011,0.5052022054013499,0.9532680978523121,false,high
46001,146000,11,0.00011,0.5052022054013499,0.9532680978523121,false,high
47001,147000,11,0.00011,0.5052022054013499,0.9532680978523121,false,high
