gene,pident,length,mismatch,gapopen,qstart,qend,sstart,send,evalue,bitscore,qlen,line,gen_id,duplicated
mukB,100.0,4460,0,0,1,4460,1216300,1211841,0.0,8237,4460,L01-1,1,False
rpoC,99.953,4223,2,0,1,4223,259602,263824,0.0,7788,4223,L01-1,1,False
rpoB,100.0,4028,0,0,1,4028,255497,259524,0.0,7439,4028,L01-1,1,False
ftsK,100.0,3989,0,0,1,3989,1259403,1255415,0.0,7367,3989,L01-1,1,False
dnaE,100.0,3482,0,0,1,3482,821464,824945,0.0,6431,3482,L01-1,1,False
rne,100.0,3185,0,0,1,3185,1612916,1616100,0.0,5882,3185,L01-1,1,False
valS,100.0,2855,0,0,1,2855,561324,564178,0.0,5273,2855,L01-1,1,False
ileS,100.0,2816,0,0,1,2816,644645,647460,0.0,5201,2816,L01-1,1,False
polA,100.0,2786,0,0,1,2786,121222,124007,0.0,5145,2786,L01-1,1,False
secA,100.0,2705,0,0,1,2705,730529,733233,0.0,4996,2705,L01-1,1,False
infB,100.0,2672,0,0,1,2672,3430204,3432875,0.0,4935,2672,L01-1,1,False
alaS,100.0,2630,0,0,1,2630,2970354,2972983,0.0,4857,2630,L01-1,1,False
gyrA,100.0,2627,0,0,1,2627,2547615,2550241,0.0,4852,2627,L01-1,1,False
topA,100.0,2597,0,0,1,2597,1775636,1778232,0.0,4796,2597,L01-1,1,False
leuS,100.0,2582,0,0,1,2582,1173190,1175771,0.0,4769,2582,L01-1,1,False
yaeT,100.0,2432,0,0,1,2432,814266,816697,0.0,4492,2432,L01-1,1,False
plsB,100.0,2423,0,0,1,2423,328299,330721,0.0,4475,2423,L01-1,1,False
gyrB,100.0,2414,0,0,1,2414,3953461,3955874,0.0,4458,2414,L01-1,1,False
pheT,100.0,2387,0,0,1,2387,2112923,2115309,0.0,4409,2387,L01-1,1,False
imp,100.0,2354,0,0,1,2354,677007,679360,0.0,4348,2354,L01-1,1,False
nrdA,100.0,2285,0,0,1,2285,2555686,2557970,0.0,4220,2285,L01-1,1,False
parC,100.0,2258,0,0,1,2258,3284390,3286647,0.0,4170,2258,L01-1,1,False
priA,100.0,2198,0,0,1,2198,198866,201063,0.0,4060,2198,L01-1,1,False
yrfF,100.0,2135,0,0,1,2135,3621924,3624058,0.0,3943,2135,L01-1,1,False
fusA,100.0,2114,0,0,1,2114,3566853,3568966,0.0,3904,2114,L01-1,1,False
spoT,100.0,2108,0,0,1,2108,3898156,3900263,0.0,3893,2108,L01-1,1,False
glyS,100.0,2069,0,0,1,2069,3803317,3805385,0.0,3821,2069,L01-1,1,False
metG,100.0,2033,0,0,1,2033,2408902,2410934,0.0,3755,2033,L01-1,1,False
ligA,100.0,2015,0,0,1,2015,2721022,2723036,0.0,3722,2015,L01-1,1,False
ftsH,100.0,1934,0,0,1,1934,3441863,3443796,0.0,3572,1934,L01-1,1,False
dnaX,99.896,1931,0,1,1,1931,1027310,1029238,0.0,3554,1931,L01-1,1,False
thrS,100.0,1928,0,0,1,1928,2118008,2119935,0.0,3561,1928,L01-1,1,False
mrdA,100.0,1901,0,0,1,1901,1167305,1169205,0.0,3511,1901,L01-1,1,False
parE,100.0,1892,0,0,1,1892,3294179,3296070,0.0,3494,1892,L01-1,1,False
dxs,100.0,1862,0,0,1,1862,973533,975394,0.0,3439,1862,L01-1,1,False
secD,100.0,1847,0,0,1,1847,962866,964712,0.0,3411,1847,L01-1,1,False
rpoD,100.0,1841,0,0,1,1841,3326805,3328645,0.0,3400,1841,L01-1,1,False
glmS,100.0,1829,0,0,1,1829,3989948,3991776,0.0,3378,1829,L01-1,1,False
aspS,100.0,1772,0,0,1,1772,2264681,2266452,0.0,3273,1772,L01-1,1,False
ftsI,99.943,1766,0,1,1,1766,713663,715427,0.0,3254,1766,L01-1,1,False
yejM,99.943,1761,0,1,1,1760,2498978,2500738,0.0,3245,1760,L01-1,1,False
msbA,100.0,1748,0,0,1,1748,1226006,1224259,0.0,3229,1748,L01-1,1,False
dnaG,100.0,1745,0,0,1,1745,3324865,3326609,0.0,3223,1745,L01-1,1,False
argS,99.942,1734,0,1,1,1733,2275990,2277723,0.0,3195,1733,L01-1,1,False
proS,100.0,1718,0,0,1,1718,833394,835111,0.0,3173,1718,L01-1,1,False
rpsA,100.0,1673,0,0,1,1673,1230632,1228960,0.0,3090,1673,L01-1,1,False
glnS,100.0,1664,0,0,1,1664,1481163,1479500,0.0,3073,1664,L01-1,1,False
groL,100.0,1646,0,0,1,1646,445167,446812,0.0,3040,1646,L01-1,1,False
yidC,100.0,1646,0,0,1,1646,3960832,3962477,0.0,3040,1646,L01-1,1,False
pyrG,100.0,1637,0,0,1,1637,3058995,3060631,0.0,3024,1637,L01-1,1,False
lnt,100.0,1538,0,0,1,1538,1497913,1496376,0.0,2841,1538,L01-1,1,False
mviN,100.0,1535,0,0,1,1535,1611164,1612698,0.0,2835,1535,L01-1,1,False
ftsY,100.0,1493,0,0,1,1493,3694295,3695787,0.0,2758,1493,L01-1,1,False
nusA,100.0,1487,0,0,1,1487,3432901,3434387,0.0,2747,1487,L01-1,1,False
murE,100.0,1487,0,0,1,1487,715415,716901,0.0,2747,1487,L01-1,1,False
murC,99.932,1476,0,1,1,1475,723014,724489,0.0,2719,1475,L01-1,1,False
der,100.0,1472,0,0,1,1472,2821952,2823423,0.0,2719,1472,L01-1,1,False
dnaB,100.0,1415,0,0,1,1415,338571,339985,0.0,2614,1415,L01-1,1,False
gltX,100.0,1415,0,0,1,1415,2712118,2713532,0.0,2614,1415,L01-1,1,False
dnaA,100.0,1403,0,0,1,1403,3958082,3959484,0.0,2591,1403,L01-1,1,False
asnS,100.0,1400,0,0,1,1400,1205042,1203643,0.0,2586,1400,L01-1,1,False
cysS,100.0,1385,0,0,1,1385,1082538,1083922,0.0,2558,1385,L01-1,1,False
glmU,100.0,1370,0,0,1,1370,3991939,3993308,0.0,2531,1370,L01-1,1,False
ffh,100.0,1361,0,0,1,1361,2932499,2933859,0.0,2514,1361,L01-1,1,False
murF,100.0,1358,0,0,1,1358,716899,718256,0.0,2508,1358,L01-1,1,False
pssA,100.0,1355,0,0,1,1355,2908793,2910147,0.0,2503,1355,L01-1,1,False
yaeL,100.0,1352,0,0,1,1352,812884,814235,0.0,2497,1352,L01-1,1,False
accC,100.0,1349,0,0,1,1349,3517297,3518645,0.0,2492,1349,L01-1,1,False
glmM,100.0,1337,0,0,1,1337,3439595,3440931,0.0,2470,1337,L01-1,1,False
secY,100.0,1331,0,0,1,1331,3554145,3555475,0.0,2459,1331,L01-1,1,False
mukF,100.0,1322,0,0,1,1322,1218307,1216986,0.0,2442,1322,L01-1,1,False
murD,100.0,1316,0,0,1,1316,719336,720651,0.0,2431,1316,L01-1,1,False
eno,100.0,1298,0,0,1,1298,3057609,3058906,0.0,2398,1298,L01-1,1,False
tilS,100.0,1298,0,0,1,1298,828669,829966,0.0,2398,1298,L01-1,1,False
serS,100.0,1292,0,0,1,1292,1253199,1251908,0.0,2386,1292,L01-1,1,False
hemL,100.0,1280,0,0,1,1280,789941,791220,0.0,2364,1280,L01-1,1,False
kdtA,100.0,1277,0,0,1,1277,3884379,3885655,0.0,2359,1277,L01-1,1,False
tyrS,100.0,1274,0,0,1,1274,2033318,2034591,0.0,2353,1274,L01-1,1,False
hisS,100.0,1274,0,0,1,1274,2825369,2826642,0.0,2353,1274,L01-1,1,False
folC,100.0,1268,0,0,1,1268,2642493,2643760,0.0,2342,1268,L01-1,1,False
ftsA,100.0,1262,0,0,1,1262,726232,727493,0.0,2331,1262,L01-1,1,False
murA,100.0,1259,0,0,1,1259,3452097,3453355,0.0,2326,1259,L01-1,1,False
rho,100.0,1259,0,0,1,1259,40675,41933,0.0,2326,1259,L01-1,1,False
hemA,100.0,1256,0,0,1,1256,1709502,1710757,0.0,2320,1256,L01-1,1,False
ftsW,100.0,1244,0,0,1,1244,720652,721895,0.0,2298,1244,L01-1,1,False
lolE,100.0,1244,0,0,1,1244,1649054,1650297,0.0,2298,1244,L01-1,1,False
cca,100.0,1238,0,0,1,1238,3315649,3316886,0.0,2287,1238,L01-1,1,False
fabB,100.0,1220,0,0,1,1220,2651204,2652423,0.0,2254,1220,L01-1,1,False
dfp,99.918,1220,0,1,1,1220,3888570,3889788,0.0,2246,1220,L01-1,1,False
lolC,100.0,1199,0,0,1,1199,1647161,1648359,0.0,2215,1199,L01-1,1,False
dxr,100.0,1196,0,0,1,1196,809859,811054,0.0,2209,1196,L01-1,1,False
obgE,100.0,1172,0,0,1,1172,3447443,3448614,0.0,2165,1172,L01-1,1,False
pgk,100.0,1163,0,0,1,1163,3218544,3219706,0.0,2148,1163,L01-1,1,False
metK,100.0,1154,0,0,1,1154,3233790,3234943,0.0,2132,1154,L01-1,1,False
ftsZ,100.0,1151,0,0,1,1151,727555,728705,0.0,2126,1151,L01-1,1,False
lpxB,100.0,1148,0,0,1,1148,819686,820833,0.0,2121,1148,L01-1,1,False
nrdB,100.0,1130,0,0,1,1130,2558205,2559334,0.0,2087,1130,L01-1,1,False
dapE,100.0,1127,0,0,1,1127,2777681,2778807,0.0,2082,1127,L01-1,1,False
ispG,100.0,1118,0,0,1,1118,2826754,2827871,0.0,2065,1118,L01-1,1,False
mrdB,100.0,1112,0,0,1,1112,1166190,1167301,0.0,2054,1112,L01-1,1,False
trmU,100.0,1106,0,0,1,1106,1664401,1665506,0.0,2043,1106,L01-1,1,False
ribD,100.0,1103,0,0,1,1103,968674,969776,0.0,2037,1103,L01-1,1,False
mreC,100.0,1103,0,0,1,1103,3510255,3511357,0.0,2037,1103,L01-1,1,False
asd,100.0,1103,0,0,1,1103,3669230,3670332,0.0,2037,1103,L01-1,1,False
yjgP,100.0,1100,0,0,1,1100,566560,567659,0.0,2032,1100,L01-1,1,False
dnaN,100.0,1100,0,0,1,1100,3956977,3958076,0.0,2032,1100,L01-1,1,False
prfB,100.0,1098,0,0,1,1098,3182271,3183368,0.0,2028,1098,L01-1,1,False
prfA,100.0,1082,0,0,1,1082,1710800,1711881,0.0,1999,1082,L01-1,1,False
yjgQ,100.0,1082,0,0,1,1082,567660,568741,0.0,1999,1082,L01-1,1,False
mraY,100.0,1082,0,0,1,1082,718251,719332,0.0,1999,1082,L01-1,1,False
fbaA,100.0,1079,0,0,1,1079,3217250,3218328,0.0,1993,1079,L01-1,1,False
degS,100.0,1067,0,0,1,1067,3493580,3494646,0.0,1971,1067,L01-1,1,False
murG,100.0,1067,0,0,1,1067,721893,722959,0.0,1971,1067,L01-1,1,False
ftsX,100.0,1058,0,0,1,1058,3692573,3693630,0.0,1954,1058,L01-1,1,False
rsgA,100.0,1052,0,0,1,1052,464598,465649,0.0,1943,1052,L01-1,1,False
mreB,100.0,1043,0,0,1,1043,3511424,3512466,0.0,1927,1043,L01-1,1,False
holA,100.0,1031,0,0,1,1031,1171563,1172593,0.0,1905,1031,L01-1,1,False
murB,100.0,1028,0,0,1,1028,246309,247336,0.0,1899,1028,L01-1,1,False
lpxD,100.0,1025,0,0,1,1025,817309,818333,0.0,1893,1025,L01-1,1,False
gpsA,100.0,1019,0,0,1,1019,3855381,3856399,0.0,1882,1019,L01-1,1,False
ygjD,100.0,1013,0,0,1,1013,3323288,3324300,0.0,1871,1013,L01-1,1,False
holB,100.0,1004,0,0,1,1004,1627496,1628499,0.0,1855,1004,L01-1,1,False
trpS,100.0,1004,0,0,1,1004,3608089,3609092,0.0,1855,1004,L01-1,1,False
gapA,100.0,995,0,0,1,995,2180139,2181133,0.0,1838,995,L01-1,1,False
rpoA,100.0,989,0,0,1,989,3551419,3552407,0.0,1827,989,L01-1,1,False
zipA,100.0,986,0,0,1,986,2723108,2724093,0.0,1821,986,L01-1,1,False
lpxK,100.0,986,0,0,1,986,1224261,1223276,0.0,1821,986,L01-1,1,False
pheS,100.0,983,0,0,1,983,2115325,2116307,0.0,1816,983,L01-1,1,False
thiL,100.0,977,0,0,1,977,970852,971828,0.0,1805,977,L01-1,1,False
hemB,100.0,974,0,0,1,974,933882,934855,0.0,1799,974,L01-1,1,False
lepB,100.0,974,0,0,1,974,2890402,2891375,0.0,1799,974,L01-1,1,False
ispB,100.0,971,0,0,1,971,3450571,3451541,0.0,1794,971,L01-1,1,False
secF,100.0,971,0,0,1,971,964724,965694,0.0,1794,971,L01-1,1,False
psd,100.0,968,0,0,1,968,463534,464501,0.0,1788,968,L01-1,1,False
birA,100.0,965,0,0,1,965,247334,248298,0.0,1783,965,L01-1,1,False
hemH,100.0,962,0,0,1,962,1033271,1034232,0.0,1777,962,L01-1,1,False
accA,100.0,959,0,0,1,959,824959,825917,0.0,1772,959,L01-1,1,False
ftsN,100.0,959,0,0,1,959,196634,197592,0.0,1772,959,L01-1,1,False
coaA,100.0,950,0,0,1,950,248328,249277,0.0,1755,950,L01-1,1,False
ispH,100.0,950,0,0,1,950,648531,649480,0.0,1755,950,L01-1,1,False
prsA,100.0,947,0,0,1,947,1706716,1707662,0.0,1749,947,L01-1,1,False
fmt,100.0,947,0,0,1,947,3545593,3546539,0.0,1749,947,L01-1,1,False
hemC,100.0,941,0,0,1,941,64081,65021,0.0,1738,941,L01-1,1,False
ribF,100.0,941,0,0,1,941,643661,644601,0.0,1738,941,L01-1,1,False
fabD,100.0,929,0,0,1,929,1621462,1622390,0.0,1716,929,L01-1,1,False
lpxC,100.0,917,0,0,1,917,728807,729723,0.0,1694,917,L01-1,1,False
accD,100.0,914,0,0,1,914,2643831,2644744,0.0,1688,914,L01-1,1,False
glyQ,100.0,911,0,0,1,911,3805396,3806306,0.0,1683,911,L01-1,1,False
era,100.0,905,0,0,1,905,2888548,2889452,0.0,1672,905,L01-1,1,False
ispA,100.0,899,0,0,1,899,975420,976318,0.0,1661,899,L01-1,1,False
dapA,100.0,878,0,0,1,878,2784956,2785833,0.0,1622,878,L01-1,1,False
uppS,100.0,878,0,0,1,878,2936896,2937773,0.0,1622,878,L01-1,1,False
lgt,100.0,875,0,0,1,875,3116128,3117002,0.0,1616,875,L01-1,1,False
ubiA,100.0,872,0,0,1,872,327272,328143,0.0,1611,872,L01-1,1,False
folD,100.0,866,0,0,1,866,1084802,1085667,0.0,1600,866,L01-1,1,False
murI,100.0,857,0,0,1,857,239681,240537,0.0,1583,857,L01-1,1,False
cdsA,100.0,857,0,0,1,857,812015,812871,0.0,1583,857,L01-1,1,False
kdsA,100.0,854,0,0,1,854,1713953,1714806,0.0,1578,854,L01-1,1,False
rpoH,100.0,854,0,0,1,854,3691474,3692327,0.0,1578,854,L01-1,1,False
tsf,100.0,851,0,0,1,851,807195,808045,0.0,1572,851,L01-1,1,False
ispE,100.0,851,0,0,1,851,1707814,1708664,0.0,1572,851,L01-1,1,False
prmC,100.0,833,0,0,1,833,1711882,1712714,0.0,1539,833,L01-1,1,False
ftsQ,100.0,830,0,0,1,830,725405,726234,0.0,1533,830,L01-1,1,False
nadE,100.0,827,0,0,1,827,2139824,2140650,0.0,1528,827,L01-1,1,False
dapD,100.0,824,0,0,1,824,801461,802284,0.0,1522,824,L01-1,1,False
dapB,99.878,821,1,0,1,821,650628,651448,0.0,1511,821,L01-1,1,False
rplB,100.0,821,0,0,1,821,3561922,3562742,0.0,1517,821,L01-1,1,False
suhB,100.0,803,0,0,1,803,2849510,2850312,0.0,1483,803,L01-1,1,False
map,100.0,794,0,0,1,794,805050,805843,0.0,1467,794,L01-1,1,False
lpxA,100.0,788,0,0,1,788,818898,819685,0.0,1456,788,L01-1,1,False
fabI,100.0,788,0,0,1,788,1794839,1795626,0.0,1456,788,L01-1,1,False
trmD,100.0,767,0,0,1,767,2930637,2931403,0.0,1417,767,L01-1,1,False
ispU,100.0,761,0,0,1,761,811241,812001,0.0,1406,761,L01-1,1,False
kdsB,100.0,746,0,0,1,746,1221775,1221030,0.0,1378,746,L01-1,1,False
hda,100.0,746,0,0,1,746,2804145,2804890,0.0,1378,746,L01-1,1,False
hemD,100.0,740,0,0,1,740,63344,64083,0.0,1367,740,L01-1,1,False
dnaC,100.0,737,0,0,1,737,586021,586757,0.0,1362,737,L01-1,1,False
yfiO,100.0,737,0,0,1,737,2922211,2922947,0.0,1362,737,L01-1,1,False
plsC,100.0,737,0,0,1,737,3283419,3284155,0.0,1362,737,L01-1,1,False
