is_id_desc,flank_id,s_start_x,s_end_x,flank,subject_id,query_id,q_start,q_end,s_start_y,s_end_y,alignment_length,evalue,IS_strand,is_match_length,is_ins_pos
0,0_r,476825,480016,r,L01_Anc_m1,0_r,1,3191,476829,480020,3192,0.0,False,3091,476929
0,0_f,480115,476924,f,L01_Anc_m1,0_f,1,3191,480119,476929,3191,0.0,False,3091,480019
1,1_r,551965,555156,r,L01_Anc_m1,1_r,1,98,551971,552068,98,3.27e-44,False,-2,552071
1,1_f,555255,552064,f,L01_Anc_m1,1_f,1,99,560670,560572,99,9.37e-45,False,-1,560570
2,2_r,705959,709150,r,L01_Anc_m1,2_r,1,98,711372,711469,98,3.27e-44,False,-2,711472
2,2_f,709249,706058,f,L01_Anc_m1,2_f,1,99,711560,711462,99,9.37e-45,False,-1,711460
3,3_f,1062128,1065319,f,L01_Anc_m1,3_f,1,101,1064448,1064548,101,7.69e-46,True,1,1064548
3,3_r,1065418,1062227,r,L01_Anc_m1,3_r,1,99,1064635,1064537,99,9.37e-45,True,-1,1064535
4,4_f,1188521,1193279,f,L01_Anc_m1,4_f,1,4758,1187742,1192502,4770,0.0,True,4658,1187842
4,4_r,1193378,1188620,r,L01_Anc_m1,4_r,1,99,1388910,1389008,99,1.4e-44,False,-1,1389010
5,5_f,1376631,1379821,f,L01_Anc_m1,5_f,1,98,1205653,1205556,98,3.27e-44,False,-2,1205553
5,5_r,1379920,1376730,r,L01_Anc_m1,5_r,1,3190,1192601,1189411,3191,0.0,True,3090,1192501
6,6_r,1392786,1395976,r,L01_Anc_m1,6_r,1,98,1205467,1205564,98,3.27e-44,False,-2,1205567
6,6_f,1396075,1392885,f,L01_Anc_m1,6_f,1,99,1389098,1389000,99,9.37e-45,False,-1,1388998
7,7_f,1412000,1415191,f,L01_Anc_m1,7_f,1,3191,1405025,1408215,3191,0.0,True,3091,1405125
7,7_r,1415290,1412099,r,L01_Anc_m1,7_r,1,3191,1408314,1405124,3191,0.0,True,3091,1408214
8,8_r,1506099,1510860,r,L01_Anc_m1,8_r,1,4761,1499132,1503892,4762,0.0,False,4661,1499232
8,8_f,1510959,1506198,f,L01_Anc_m1,8_f,1,4761,1503991,1499231,4762,0.0,False,4661,1503891
9,9_r,1681883,1685073,r,L01_Anc_m1,9_r,1,99,1674923,1675021,99,9.37e-45,False,-1,1675023
9,9_f,1685172,1681982,f,L01_Anc_m1,9_f,1,99,1676515,1676417,99,9.37e-45,False,-1,1676415
10,10_r,1750751,1753941,r,L01_Anc_m1,10_r,1,98,1742098,1742195,98,3.27e-44,False,-2,1742198
