group,start,end,depth,length,start_fix,end_fix,is_start,is_end
1,1,548961,1.0,548961,1,552053,-1,3
2,548962,549423,0.0,462,552054,552515,3,4
3,549424,1651475,1.0,1102052,555609,1676262,4,18
4,1651476,1652879,0.0,1404,1676263,1680759,18,21
5,1652880,1763952,1.0,111073,1680760,1791832,21,24
6,1763953,1764547,0.0,595,1791833,1792427,24,25
7,1764548,1810922,1.0,46375,1792428,1838802,25,26
8,1810923,1899385,0.0,88463,1838803,1927265,26,27
9,1899386,2219823,1.0,320438,1927266,2258553,27,36
10,2219824,2230932,0.0,11109,2258554,2269662,36,37
11,2230933,2311783,1.0,80851,2269663,2355176,37,38
12,2311784,2320088,0.0,8305,2355177,2363481,38,40
13,2320089,2403141,1.0,83053,2363482,2446534,40,41
14,2403142,2407626,0.0,4485,2446535,2451019,41,42
15,2407627,2661964,1.0,254338,2451020,2705357,42,43
16,2661965,2663552,0.0,1588,2708450,2710037,43,45
17,2663553,3063678,1.0,400126,2710038,3110163,45,48
18,3063679,3082115,0.0,18437,3110164,3128600,48,49
19,3082116,3697927,1.0,615812,3128601,3747504,49,52
20,3697928,3698097,0.0,170,3752168,3752337,52,54
21,3698098,3989424,1.0,291327,3752338,4051419,54,-1
