group,start,end,depth,length,start_fix,end_fix,is_start,is_end,line,gen_id,recA,Include,IS,Trans,Tandem,Note
4,1934346,1967835,2,33490,1952960,1991112,16,17,L01-1,2,1,1,1,0,1,
4,565110,581275,2,16166,571296,587461,6,7,L01-2,2,1,1,1,1,0,
4,2283225,2413184,2,129960,2317293,2447252,26,28,L01-4,3,1,1,1,1,0,
10,3792813,3811970,4,19158,3829926,3855278,35,37,L02-1,2,1,1,1,0,1,
4,1272234,1512401,2,240168,1282160,1522327,9,12,L02-1,3,1,1,1,1,0,
10,3776311,3792813,2,16503,3810331,3829926,35,37,L02-2,2,1,1,1,0,1,
4,2420664,2793023,2,372360,2452243,2830763,23,28,L02-2,3,1,1,1,1,0,
14,3792813,3811970,2,19158,3829926,3855278,40,42,L02-3,2,1,1,1,0,1,Only one end
5,2368796,2625915,2,257120,2403465,2663676,26,30,L02-3,3,1,1,1,1,0,
8,2541269,2605546,2,64278,2581472,2648840,33,35,L02-4,3,1,1,1,1,0,
6,3522565,3570879,2,48315,3577207,3625521,37,39,L03-2,3,1,1,1,1,0,
5,1860616,1892934,2,32319,1878157,1910475,15,17,L03-3,2,1,1,1,1,0,
2,2557973,2605270,2,47298,2578607,2628997,22,24,L03-4,2,1,1,1,0,1,
4,2558024,2652708,2,94685,2606489,2710450,36,40,L03-4,3,1,1,1,0,1,
2,24531,59443,2,34913,24531,59443,1,2,L04-1,2,1,1,1,1,0,
10,1999819,2019162,3,19344,2033836,2053179,30,31,L04-1,3,1,0,1,0,0,Ignored due to divergence
16,3656463,3661632,2,5170,3715224,3720393,-1,-1,L04-1,3,1,0,0,0,0,Ignored due to divergence
4,1244919,1407725,2,162807,1266569,1429375,18,20,L04-3,2,1,1,1,1,0,
8,3007110,3178432,2,171323,3047317,3218639,36,38,L04-3,2,1,1,1,1,0,
13,2358526,2399944,2,41419,2392547,2433965,35,36,L04-4,2,1,1,1,1,0,
6,1700071,1741487,2,41417,1734090,1775506,24,26,L04-4,3,1,1,1,1,0,
12,2367016,2408433,2,41418,2422692,2464109,42,44,L04-4,3,1,1,1,1,0,
16,3015591,3105687,2,90097,3074360,3167549,49,51,L04-4,3,1,1,1,1,0,
8-9,1907222,1925789,3,18568,1920148,1938156,18,20,L05-2,2,1,1,1,0,1,Ignored the partial forth copy because it is caused by heterogeneity of reads.
5,1809880,1848376,2,38497,1819156,1857652,12,13,L05-4,2,1,1,1,0,1,
8,1860083,1925401,2,65319,1872450,1937768,17,18,L05-4,2,1,1,1,0,1,
16,3157297,3188474,2,31178,3182033,3216303,32,33,L05-4,2,1,1,1,1,0,
14,1616539,1673585,2,57047,1644372,1701418,26,28,L05-4,3,1,1,1,0,1,
17,1681865,1689356,4,7492,1712791,1723375,30,32,L05-4,3,1,1,1,1,0,
6,1255041,1269733,2,14693,1270504,1285196,12,14,L06-2,3,1,1,1,1,0,
5,1465828,1630714,2,164887,1481289,1649268,15,19,L06-3,3,1,1,1,1,0,
7,1677636,1691733,2,14098,1699283,1716473,21,22,L06-3,3,1,1,1,1,0,
4,1272655,1290558,2,17904,1288121,1306024,13,15,L08-2,3,0,1,1,0,1,
6,2404813,2691765,2,286953,2435743,2725786,23,25,L08-3,2,0,1,1,0,1,
2,120542,125371,2,4830,123635,128464,1,3,L10-2,2,0,1,1,0,1,Removed copy number corresponding to tandem of the next
2-3,120542,136190,2,10819,123635,139283,3,5,L10-2,2,0,1,1,1,0,
10,3475390,3538739,2,63350,3518719,3582068,32,33,L10-3,3,0,1,1,1,0,
6,2281966,2311870,2,29905,2303616,2333520,23,24,L10-4,3,0,1,1,1,0,
2,1271801,1286413,2,14613,1284173,1298785,8,10,L11-2,2,0,1,1,1,0,
4,2075356,2111576,3,36221,2093914,2130134,17,19,L11-2,2,0,1,1,0,1,Merged two duplications. It should be triple tandem -> deletion rather than two separate deletions.
2,1271523,1286137,2,14615,1283896,1301603,11,13,L11-2,3,0,1,1,0,1,
2,161101,381042,2,219942,167287,390321,3,7,L11-4,3,0,1,1,1,0,
