pos_id,IS_strand,flank,pos,genome,cluster_id,insert_id,flankMatchDir,position_status,sv
0,False,f,1272610,Ref,9,6,False,original,pristine
0,False,r,1275701,Ref,8,7,True,original,pristine
0,False,r,476936,Query,6,1,True,new,simple_insertion
0,False,f,476923,Query,6,1,False,new,simple_insertion
1,False,r,549440,Query,15,2,True,new,unknown
1,False,f,554375,Query,17,3,False,new,unknown
2,False,r,705287,Query,10,4,True,new,simple_insertion
2,False,f,705275,Query,10,4,False,new,simple_insertion
3,True,f,1181609,Query,0,5,True,new,unknown
3,True,r,1475264,Query,7,8,False,new,unknown
4,False,r,1488332,Query,21,9,True,new,unknown
4,True,f,1475276,Query,7,8,True,new,unknown
5,False,f,1275699,Query,8,7,False,original,pristine
5,False,r,1272611,Query,9,6,True,original,pristine
6,True,r,1181595,Query,0,5,False,new,unknown
6,False,f,1488995,Query,11,10,False,new,unknown
7,False,r,1660682,Query,3,11,True,new,simple_insertion
7,False,f,1660669,Query,3,11,False,new,simple_insertion
8,True,f,1938086,Query,14,12,True,new,simple_insertion
8,True,r,1938073,Query,14,12,False,new,simple_insertion
9,True,f,1971562,Query,16,13,True,new,unknown
9,True,r,1980792,Query,12,14,False,new,unknown
10,False,r,2296173,Query,5,15,True,new,simple_insertion
10,False,f,2296160,Query,5,15,False,new,simple_insertion
11,True,f,2646352,Query,18,16,True,new,unknown
11,True,r,2650557,Query,13,17,False,new,unknown
12,False,r,3358694,Query,4,18,True,new,simple_insertion
12,False,f,3358681,Query,4,18,False,new,simple_insertion
13,True,f,3686551,Query,1,19,True,new,simple_insertion
13,True,r,3686538,Query,1,19,False,new,simple_insertion
14,True,f,3848476,Query,2,20,True,new,simple_insertion
14,True,r,3848463,Query,2,20,False,new,simple_insertion
15,True,f,3943022,Query,20,21,True,new,unknown
15,True,r,3945327,Query,19,22,False,new,unknown
