Line,Gen,is_cluster_id,dir,read_name,sseqid,qstart,qend,sstart,send,length,evalue,bitscore,pident
L01-1,1,0,head,L01-1.1.0.dir,L01-1_genome.2_m,1,2999,473907,476905,2999,0.0,5409.0,100.0
L01-1,1,0,tail,L01-1.1.0.tail,L01-1_genome.2_m,1,2999,479999,482997,2999,0.0,5409.0,100.0
L01-1,1,1,head,L01-1.1.1.dir,L01-1_genome.2_m,1974,2063,547666,547577,90,1.82e-15,82.4,80.0
L01-1,1,1,tail,L01-1.1.1.tail,L01-1_genome.2_m,311,2999,555600,558289,2690,0.0,4844.0,99.963
L01-1,1,2,head,L01-1.1.2.dir,L01-1_genome.2_m,1,2998,1182956,1185953,2998,0.0,5407.0,100.0
L01-1,1,2,head,L01-1.1.2.dir,L01-1_genome.2_m,782,1003,1348021,1347800,222,6.35e-34,144.0,74.324
L01-1,1,2,head,L01-1.1.2.dir,L01-1_genome.2_m,773,1020,3540750,3540502,249,1.71e-28,126.0,71.486
L01-1,1,2,head,L01-1.1.2.dir,L01-1_genome.2_m,813,1013,2642080,2642280,201,5.95e-28,124.0,73.632
L01-1,1,2,head,L01-1.1.2.dir,L01-1_genome.2_m,900,1016,1290647,1290530,118,2.7e-13,75.2,74.576
L01-1,1,2,tail,L01-1.1.2.tail,L01-1_genome.2_m,2,2999,1203686,1200689,2998,0.0,5407.0,100.0
L01-1,1,2,tail,L01-1.1.2.tail,L01-1_genome.2_m,1,222,1086662,1086441,222,7.75e-14,77.0,67.568
L01-1,1,3,head,L01-1.1.3.dir,L01-1_genome.2_m,1,2999,1403356,1406354,2999,0.0,5409.0,100.0
L01-1,1,3,tail,L01-1.1.3.tail,L01-1_genome.2_m,1,2999,1409448,1412446,2999,0.0,5409.0,100.0
L01-1,1,3,tail,L01-1.1.3.tail,L01-1_genome.2_m,2432,2871,2113783,2113344,442,7.24e-46,184.0,69.683
L01-1,1,3,tail,L01-1.1.3.tail,L01-1_genome.2_m,2432,2736,2932916,2933220,306,4.5699999999999995e-42,171.0,72.876
L01-1,1,4,head,L01-1.1.4.dir,L01-1_genome.2_m,1,2999,1497454,1500452,2999,0.0,5409.0,100.0
L01-1,1,4,tail,L01-1.1.4.tail,L01-1_genome.2_m,1,2999,1505116,1508114,2999,0.0,5409.0,100.0
L01-1,1,5,head,L01-1.1.5.dir,L01-1_genome.2_m,1,2999,1990864,1993862,2999,0.0,5409.0,100.0
L01-1,1,5,head,L01-1.1.5.dir,L01-1_genome.2_m,19,2590,1251892,1249327,2592,0.0,1173.0,70.486
L01-1,1,5,head,L01-1.1.5.dir,L01-1_genome.2_m,19,1463,1988398,1989842,1453,0.0,688.0,70.819
L01-1,1,5,tail,L01-1.1.5.tail,L01-1_genome.2_m,1,2999,1998527,2001524,2999,0.0,5401.0,99.967
L01-1,1,5,tail,L01-1.1.5.tail,L01-1_genome.2_m,845,1122,3710346,3710623,278,2.53e-26,119.0,69.424
L01-1,1,6,head,L01-1.1.6.dir,L01-1_genome.2_m,1,2999,2310896,2313894,2999,0.0,5409.0,100.0
L01-1,1,6,tail,L01-1.1.6.tail,L01-1_genome.2_m,1,2999,2318559,2321557,2999,0.0,5409.0,100.0
L01-1,1,6,tail,L01-1.1.6.tail,L01-1_genome.2_m,171,697,2530971,2530451,530,4.2699999999999994e-74,278.0,71.887
L01-1,1,6,tail,L01-1.1.6.tail,L01-1_genome.2_m,163,700,1206870,1207424,563,4.5699999999999995e-61,234.0,69.627
L01-1,1,6,tail,L01-1.1.6.tail,L01-1_genome.2_m,1049,1365,2530152,2529866,319,1.15e-49,196.0,73.041
L01-1,1,6,tail,L01-1.1.6.tail,L01-1_genome.2_m,231,702,873727,873256,483,4.5699999999999995e-42,170.0,68.53
L01-1,1,6,tail,L01-1.1.6.tail,L01-1_genome.2_m,1047,1364,1207688,1207963,320,2.53e-26,119.0,67.188
L01-1,1,6,tail,L01-1.1.6.tail,L01-1_genome.2_m,207,405,1897492,1897294,199,4.5799999999999995e-23,107.0,71.859
L01-1,1,6,tail,L01-1.1.6.tail,L01-1_genome.2_m,1191,1290,872892,872793,100,7.75e-14,77.9,77.0
L01-1,1,7,head,L01-1.1.7.dir,L01-1_genome.2_m,1,2999,3376918,3379915,2999,0.0,5401.0,99.967
L01-1,1,7,head,L01-1.1.7.dir,L01-1_genome.2_m,1407,2757,2221620,2220270,1369,1.07e-176,618.0,70.562
L01-1,1,7,head,L01-1.1.7.dir,L01-1_genome.2_m,1410,2759,3088166,3086817,1364,1.3e-175,615.0,70.748
L01-1,1,7,tail,L01-1.1.7.tail,L01-1_genome.2_m,1,2999,3383009,3386007,2999,0.0,5409.0,100.0
L01-1,1,7,tail,L01-1.1.7.tail,L01-1_genome.2_m,252,2479,1242574,1240350,2235,0.0,1558.0,75.66
L01-1,1,7,tail,L01-1.1.7.tail,L01-1_genome.2_m,255,427,2908421,2908593,173,5.95e-28,123.0,75.723
L01-1,1,7,tail,L01-1.1.7.tail,L01-1_genome.2_m,1,228,547902,548129,228,8.27e-20,96.9,69.298
