,line,gen_id,prime_end,distance,initial_weight,factor,normalized_weight,cumulative_weight_rv
1869,L09-2,1,distance_5_prime,23,23,8,1.1834284513951141e-05,867.999999999997
1825,L09-1,1,distance_5_prime,23,23,8,1.0857144408163487e-05,867.9997278114532
1919,L09-3,2,distance_5_prime,23,23,12,9.988912307338854e-06,867.9994780971318
1838,L09-1,2,distance_5_prime,23,23,12,1.3485509819698733e-05,867.9992483521488
1968,L09-4,2,distance_5_prime,23,23,12,1.571309974937606e-05,867.998938185423
1956,L09-4,1,distance_5_prime,23,23,8,1.1834284513951141e-05,867.9985767841288
1905,L09-3,1,distance_5_prime,23,23,8,1.0857144408163487e-05,867.998304595585
1879,L09-2,2,distance_5_prime,23,23,12,1.4618903460416273e-05,867.9980548812636
4619,L11-2,1,distance_3_prime,45,45,8,8.909697983512604e-06,867.9977186464839
4676,L11-3,1,distance_3_prime,45,45,8,8.909697983512604e-06,867.9973177100746
4638,L11-2,2,distance_3_prime,45,45,12,8.291965638094397e-06,867.9969167736654
4585,L11-1,2,distance_3_prime,45,45,12,1.0670489072974586e-05,867.9965436352117
4688,L11-3,2,distance_3_prime,45,45,12,1.3801130312572599e-05,867.9960634632033
4714,L11-4,1,distance_3_prime,45,45,8,8.909697983512604e-06,867.9954424123392
4733,L11-4,2,distance_3_prime,45,45,12,7.172370593997801e-06,867.99504147593
4570,L11-1,1,distance_3_prime,45,45,8,8.909697983512604e-06,867.9947187192532
2764,L02-3,2,distance_3_prime,236,236,12,7.0366456779163085e-06,867.994317782844
2832,L02-4,2,distance_3_prime,236,236,12,8.349626702106193e-06,867.9926571344639
2694,L02-2,2,distance_3_prime,236,236,12,6.416817194503354e-06,867.9906866225622
2741,L02-3,1,distance_3_prime,236,236,8,9.06305050951337e-06,867.9891722537043
2809,L02-4,1,distance_3_prime,236,236,8,9.06305050951337e-06,867.987033373784
2602,L02-1,1,distance_3_prime,236,236,8,9.06305050951337e-06,867.9848944938637
2622,L02-1,2,distance_3_prime,236,236,12,6.2998409290165425e-06,867.9827556139435
2672,L02-2,1,distance_3_prime,236,236,8,9.06305050951337e-06,867.9812688514843
4522,L10-4,2,distance_3_prime,327,327,12,9.642031543906196e-06,867.979129971564
1405,L06-4,2,distance_5_prime,349,349,12,7.469756822066657e-06,867.9759770272492
