is_id_desc,s_start_x_f,s_end_x_f,query_id_f,q_start_f,q_end_f,s_start_y_f,s_end_y_f,alignment_length_f,evalue_f,IS_strand_f,is_match_length_f,is_ins_pos_f,is_matched_f,s_start_x_r,s_end_x_r,query_id_r,q_start_r,q_end_r,s_start_y_r,s_end_y_r,alignment_length_r,evalue_r,IS_strand_r,is_match_length_r,is_ins_pos_r,is_matched_r,_is_length,_same_strand,_range_overlap,_range_distance,_same_ins_pos,_detected_is_start,_detected_is_end,status,insert_id_f,target_locus_status_f,insert_id_r,target_locus_status_r
0,480103,476913,0_f,1,99,477023,476925,99,9.309999999999999e-45,False,-1,476923,False,476814,480004,0_r,1,98,476836,476933,98,3.25e-44,False,-2,476936,False,3191,True,8,0,True,476923,476936,simple_insertion,1,new,1,new
1,555707,552516,1_f,1,99,554475,554377,99,9.309999999999999e-45,False,-1,554375,False,552417,555608,1_r,1,98,549340,549437,98,3.25e-44,False,-2,549440,False,3192,True,0,4940,False,549440,554375,unknown,3,new,2,new
2,709699,706509,2_f,1,99,705375,705277,99,9.309999999999999e-45,False,-1,705275,False,706410,709600,2_r,1,98,705187,705284,98,3.25e-44,False,-2,705287,False,3191,True,7,0,True,705275,705287,simple_insertion,4,new,4,new
3,1185881,1190642,3_f,1,98,1181509,1181606,98,4.86e-44,True,-2,1181609,False,1190741,1185980,3_r,1,99,1475364,1475266,99,1.39e-44,True,-1,1475264,False,4762,True,0,293660,False,1181609,1475264,unknown,5,new,8,new
4,1206899,1203708,4_f,1,99,1475176,1475274,99,9.309999999999999e-45,True,-1,1475276,False,1203609,1206800,4_r,1,94,1488232,1488325,94,4.82e-42,False,-6,1488332,False,3192,False,0,12958,False,1475276,1488332,unknown,8,new,9,new
5,1406279,1409469,5_f,1,3190,1275799,1272610,3190,0.0,False,3090,1275699,True,1409568,1406378,5_r,1,3190,1272511,1275700,3190,0.0,False,3090,1272611,True,3191,True,3090,0,False,1272611,1275699,pristine,7,original,6,original
6,1505236,1500476,6_f,1,99,1489095,1488997,99,1.39e-44,False,-1,1488995,False,1500377,1505137,6_r,1,98,1181695,1181598,98,4.86e-44,True,-2,1181595,False,4761,False,0,307302,False,1181595,1488995,unknown,10,new,5,new
7,1680004,1676813,7_f,1,99,1660769,1660671,99,9.309999999999999e-45,False,-1,1660669,False,1676714,1679905,7_r,1,98,1660582,1660679,98,3.25e-44,False,-2,1660682,False,3192,True,8,0,True,1660669,1660682,simple_insertion,11,new,11,new
8,1957218,1960409,8_f,1,98,1937986,1938083,98,3.25e-44,True,-2,1938086,False,1960508,1957317,8_r,1,99,1938173,1938075,99,9.309999999999999e-45,True,-1,1938073,False,3192,True,8,0,True,1938073,1938086,simple_insertion,12,new,12,new
9,1993797,1996989,9_f,1,99,1971462,1971560,99,9.319999999999999e-45,True,-1,1971562,False,1997088,1993896,9_r,1,99,1938173,1938075,99,9.319999999999999e-45,True,-1,1938073,False,3193,True,0,33289,False,1938073,1971562,unknown,13,new,12,new
10,2030378,2035139,10_f,1,99,1971462,1971560,99,1.39e-44,True,-1,1971562,False,2035238,2030477,10_r,1,99,1980892,1980794,99,1.39e-44,True,-1,1980792,False,4762,True,0,9234,False,1971562,1980792,unknown,13,new,14,new
11,2355274,2350513,11_f,1,99,2296260,2296162,99,1.39e-44,False,-1,2296160,False,2350414,2355175,11_r,1,98,2296073,2296170,98,4.86e-44,False,-2,2296173,False,4762,True,8,0,True,2296160,2296173,simple_insertion,15,new,15,new
12,2705259,2708449,12_f,1,98,2646252,2646349,98,3.25e-44,True,-2,2646352,False,2708548,2705358,12_r,1,99,2650657,2650559,99,9.309999999999999e-45,True,-1,2650557,False,3191,True,0,4210,False,2646352,2650557,unknown,16,new,17,new
13,3419739,3416549,13_f,1,99,3358781,3358683,99,9.309999999999999e-45,False,-1,3358681,False,3416450,3419640,13_r,1,98,3358594,3358691,98,3.25e-44,False,-2,3358694,False,3191,True,8,0,True,3358681,3358694,simple_insertion,18,new,18,new
14,3747406,3752167,14_f,1,98,3686451,3686548,98,4.86e-44,True,-2,3686551,False,3752266,3747505,14_r,1,100,3686638,3686539,100,3.99e-45,True,0,3686538,False,4762,True,9,0,True,3686538,3686551,simple_insertion,19,new,19,new
15,3914000,3917190,15_f,1,98,3848376,3848473,98,3.25e-44,True,-2,3848476,False,3917289,3914099,15_r,1,99,3848563,3848465,99,9.309999999999999e-45,True,-1,3848463,False,3191,True,8,0,True,3848463,3848476,simple_insertion,20,new,20,new
16,4011561,4016322,16_f,1,98,3942922,3943019,98,4.86e-44,True,-2,3943022,False,4016421,4011660,16_r,1,99,3945427,3945329,99,1.39e-44,True,-1,3945327,False,4762,True,0,2310,False,3943022,3945327,unknown,21,new,22,new
