gene,synonyms,bnumber,strand,start,end
thrL,b0001;ECK0001;JW4367,b0001,True,189,255
thrA,b0002;ECK0002;JW0001,b0002,True,336,2799
thrB,b0003;ECK0003;JW0002,b0003,True,2800,3733
thrC,b0004;ECK0004;JW0003,b0004,True,3733,5020
yaaX,b0005;ECK0005;JW0004,b0005,True,5233,5530
yaaA,b0006;ECK0006;JW0005,b0006,True,5682,6459
yaaJ,b0007;ECK0007;JW0006,b0007,True,6528,7959
talB,b0008;ECK0008;JW0007,b0008,True,8237,9191
mog,b0009;ECK0009;JW0008,b0009,True,9305,9893
yaaH,b0010;ECK0010;JW0009,b0010,True,9927,10494
yaaW,b0011;ECK0011;JW0010,b0011,True,10642,11356
htgA,b0012;ECK0012;JW5001,b0012,True,10829,11315
yaaI,b0013;ECK0013;JW0012,b0013,True,11381,11786
dnaK,b0014;ECK0014;JW0013,b0014,True,12162,14079
dnaJ,b0015;ECK0015;JW0014,b0015,True,14167,15298
rpsT,b0023;ECK0024;JW0022,b0023,True,15639,15903
yaaY,b0024;ECK0025;JW5003,b0024,True,16005,16224
ribF,b0025;ECK0026;JW0023,b0025,True,16231,17173
ileS,b0026;ECK0027;JW0024,b0026,True,17215,20032
lspA,b0027;ECK0028;JW0025,b0027,True,20031,20526
fkpB,b0028;ECK0029;JW0026,b0028,True,20650,21100
ispH,b0029;ECK0030;JW0027,b0029,True,21101,22052
rihC,b0030;ECK0031;JW0028,b0030,True,22117,23032
dapB,b0031;ECK0032;JW0029,b0031,True,23198,24020
carA,b0032;ECK0033;JW0030,b0032,True,24475,25624
carB,b0033;ECK0034;JW0031,b0033,True,25641,28863
caiF,b0034;ECK0035;JW0033,b0034,True,29124,29520
caiE,b0035;ECK0036;JW5004,b0035,True,29605,30196
caiD,b0036;ECK0037;JW0035,b0036,True,30201,31095
caiC,b0037;ECK0038;JW0036,b0037,True,31095,32664
caiB,b0038;ECK0039;JW0037,b0038,True,32722,33940
caiA,b0039;ECK0040;JW0038,b0039,True,34068,35211
caiT,b0040;ECK0041;JW0039,b0040,True,35241,36756
fixA,b0041;ECK0042;JW0040,b0041,True,37227,37998
fixB,b0042;ECK0043;JW0041,b0042,True,38012,38954
fixC,b0043;ECK0044;JW0042,b0043,True,39004,40291
fixX,b0044;ECK0045;JW0043,b0044,True,40287,40575
yaaU,b0045;ECK0046;JW0044,b0045,True,40631,41963
kefF,b0046;ECK0047;JW0045,b0046,True,42070,42601
kefC,b0047;ECK0048;JW0046,b0047,True,42593,44456
folA,b0048;ECK0049;JW0047,b0048,True,44647,45127
apaH,b0049;ECK0050;JW0048,b0049,True,45204,46047
apaG,b0050;ECK0051;JW0049,b0050,True,46053,46431
ksgA,b0051;ECK0052;JW0050,b0051,True,46433,47255
pdxA,b0052;ECK0053;JW0051,b0052,True,47251,48241
surA,b0053;ECK0054;JW0052,b0053,True,48240,49527
imp,b0054;ECK0055;JW0053,b0054,True,49579,51934
djlA,b0055;ECK0056;JW0054,b0055,True,52188,53004
yabP,b0056;ECK0057;JW0055,b0056,True,53298,53949
yabQ,b0057;ECK0058;JW0056,b0057,True,53945,54104
rluA,b0058;ECK0059;JW0057,b0058,True,54511,55171
hepA,b0059;ECK0060;JW0058,b0059,True,55182,58089
polB,b0060;ECK0061;JW0059,b0060,True,58253,60605
araD,b0061;ECK0062;JW0060,b0061,True,60679,61375
araA,b0062;ECK0063;JW0061,b0062,True,61659,63162
araB,b0063;ECK0064;JW0062,b0063,True,63172,64873
araC,b0064;ECK0065;JW0063,b0064,True,65211,66090
yabI,b0065;ECK0066;JW5005,b0065,True,66175,66940
thiQ,b0066;ECK0067;JW0065,b0066,True,67053,67752
thiP,b0067;ECK0068;JW0066,b0067,True,67735,69346
tbpA,b0068;ECK0069;JW0067,b0068,True,69321,70305
sgrR,b0069;ECK0070;JW0068,b0069,True,70468,72124
sgrS,b4577;ECK0071;JWR0259,b4577,True,72191,72418
setA,b0070;ECK0072;JW0069,b0070,True,72445,73624
leuD,b0071;ECK0073;JW0070,b0071,True,73672,74278
leuC,b0072;ECK0074;JW0071,b0072,True,74288,75689
leuB,b0073;ECK0075;JW5807,b0073,True,75691,76783
leuA,b0074;ECK0076;JW0073,b0074,True,76782,78354
leuL,b0075;ECK0077;JW0074,b0075,True,78446,78533
leuO,b0076;ECK0078;JW0075,b0076,True,79192,80137
ilvI,b0077;ECK0079;JW0076,b0077,True,80454,82179
ilvH,b0078;ECK0080;JW0077,b0078,True,82181,82673
fruR,b0080;ECK0081;JW0078,b0080,True,82852,83857
mraZ,b0081;ECK0082;JW0079,b0081,True,84458,84917
mraW,b0082;ECK0083;JW0080,b0082,True,84918,85860
ftsL,b0083;ECK0084;JW0081,b0083,True,85856,86222
ftsI,b0084;ECK0085;JW0082,b0084,True,86237,88004
murE,b0085;ECK0086;JW0083,b0085,True,87990,89478
murF,b0086;ECK0087;JW0084,b0086,True,89474,90833
mraY,b0087;ECK0088;JW0085,b0087,True,90826,91909
murD,b0088;ECK0089;JW0086,b0088,True,91911,93228
ftsW,b0089;ECK0090;JW0087,b0089,True,93227,94472
murG,b0090;ECK0091;JW0088,b0090,True,94468,95536
murC,b0091;ECK0092;JW0089,b0091,True,95589,97065
ddlB,b0092;ECK0093;JW0090,b0092,True,97057,97978
ftsQ,b0093;ECK0094;JW0091,b0093,True,97979,98810
ftsA,b0094;ECK0095;JW0092,b0094,True,98806,100069
ftsZ,b0095;ECK0096;JW0093,b0095,True,100129,101281
lpxC,b0096;ECK0097;JW0094,b0096,True,101381,102299
secM,b0097;ECK0098;JW5007,b0097,True,102529,103042
secA,b0098;ECK0099;JW0096,b0098,True,103103,105809
mutT,b0099;ECK0100;JW0097,b0099,True,105868,106258
yacG,b0101;ECK0101;JW5008,b0101,True,106473,106671
yacF,b0102;ECK0102;JW0099,b0102,True,106680,107424
coaE,b0103;ECK0103;JW0100,b0103,True,107423,108044
guaC,b0104;ECK0104;JW0101,b0104,True,108268,109312
hofC,b0106;ECK0105;JW0102,b0106,True,109346,110549
hofB,b0107;ECK0106;JW0103,b0107,True,110538,111924
ppdD,b0108;ECK0107;JW0104,b0108,True,111933,112374
nadC,b0109;ECK0108;JW0105,b0109,True,112576,113470
ampD,b0110;ECK0109;JW0106,b0110,True,113557,114109
ampE,b0111;ECK0110;JW0107,b0111,True,114105,114960
aroP,b0112;ECK0111;JW0108,b0112,True,115002,116376
pdhR,b0113;ECK0112;JW0109,b0113,True,116916,117681
aceE,b0114;ECK0113;JW0110,b0114,True,117841,120505
aceF,b0115;ECK0114;JW0111,b0115,True,120519,122412
lpd,b0116;ECK0115;JW0112,b0116,True,122736,124161
yacH,b0117;ECK0116;JW0113,b0117,True,124231,126085
acnB,b0118;ECK0117;JW0114,b0118,True,126439,129037
yacL,b0119;ECK0118;JW0115,b0119,True,129212,129575
speD,b0120;ECK0119;JW0116,b0120,True,129612,130407
speE,b0121;ECK0120;JW0117,b0121,True,130422,131289
yacC,b0122;ECK0121;JW0118,b0122,True,131394,131742
cueO,b0123;ECK0122;JW0119,b0123,True,131907,133458
gcd,b0124;ECK0123;JW0120,b0124,True,133659,136050
hpt,b0125;ECK0124;JW5009,b0125,True,136255,136792
can,b0126;ECK0125;JW0122,b0126,True,136832,137495
yadG,b0127;ECK0126;JW0123,b0127,True,137603,138530
yadH,b0128;ECK0127;JW0124,b0128,True,138526,139297
yadI,b0129;ECK0128;JW0125,b0129,True,139401,139842
yadE,b0130;ECK0129;JW0126,b0130,True,139905,141135
panD,b0131;ECK0130;JW0127,b0131,True,141138,141519
yadD,b0132;ECK0131;JW5010,b0132,True,141792,142695
panC,b0133;ECK0132;JW0129,b0133,True,142768,143620
panB,b0134;ECK0133;JW0130,b0134,True,143631,144426
yadC,b0135;ECK0134;JW0131,b0135,True,144539,145778
yadK,b0136;ECK0135;JW0132,b0136,True,145827,146424
yadL,b0137;ECK0136;JW0133,b0137,True,146450,147056
yadM,b0138;ECK0137;JW0134,b0138,True,147067,147637
htrE,b0139;ECK0138;JW0135,b0139,True,147653,150251
ecpD,b0140;ECK0139;JW0136,b0140,True,150285,151026
yadN,b0141;ECK0140;JW0137,b0141,True,151123,151708
folK,b0142;ECK0141;JW0138,b0142,True,152077,152557
pcnB,b0143;ECK0142;JW5808,b0143,True,152553,153951
yadB,b0144;ECK0143;JW5892,b0144,True,154010,154937
dksA,b0145;ECK0144;JW0141,b0145,True,154973,155429
sfsA,b0146;ECK0145;JW0142,b0146,True,155606,156311
ligT,b0147;ECK0146;JW5011,b0147,True,156325,156856
hrpB,b0148;ECK0147;JW0144,b0148,True,156929,159359
mrcB,b0149;ECK0148;JW0145,b0149,True,159554,162089
hemL,b0154;ECK0153;JW0150,b0154,True,162462,163743
clcA,b0155;ECK0154;JW5012,b0155,True,163967,165389
yadR,b0156;ECK0155;JW0152,b0156,True,165470,165815
yadS,b0157;ECK0156;JW0153,b0157,True,165861,166485
btuF,b0158;ECK0157;JW0154,b0158,True,166522,167323
pfs,b0159;ECK0158;JW0155,b0159,True,167315,168014
dgt,b0160;ECK0159;JW0156,b0160,True,168097,169615
