Line,Gen,is_cluster_id,min_dist,head_qend,tail_qstart,min_i,min_j,raw_dist,min_start_raw,min_end_raw,flank_dist,dir
L01-1,1,0,3093,2999,1,0,1,3094,476913,480007,3093,True
L01-1,1,1,8024,2063,311,2,3,9269,547586,555609,-8024,False
L01-1,1,2,17732,2998,2,4,9,17735,1185970,1203703,17732,False
L01-1,1,3,3093,2999,1,11,12,3094,1406378,1409472,3093,True
L01-1,1,4,4663,2999,1,15,16,4664,1500476,1505140,4663,True
L01-1,1,5,41245,2999,1,17,22,41246,1993896,2035142,41245,True
L01-1,1,6,4664,2999,1,24,25,4665,2350513,2355178,4664,True
L01-1,1,7,3093,2999,1,33,36,3094,3416549,3419643,3093,True
L01-1,1,8,3093,2999,1,40,41,3094,3914099,3917193,3093,True
L01-1,1,9,4664,2999,1,42,43,4665,4011660,4016325,4664,True
L01-1,2,0,3094,2999,1,45,46,3095,476924,480019,3094,True
L01-1,2,1,3095,2536,1,47,48,3559,552063,555159,3095,True
L01-1,2,2,3094,2999,1,49,50,3095,706058,709153,3094,True
L01-1,2,3,204261,2999,1,51,56,204262,1188620,1392882,204261,False
L01-1,2,4,3093,2999,1,57,59,-3094,1379821,1376727,3093,True
L01-1,2,5,3094,2999,1,133,134,3095,1412099,1415194,3094,True
L01-1,2,6,4664,2999,1,137,138,4665,1506198,1510863,4664,True
L01-1,2,7,3091,2448,853,139,140,4495,1681982,1685074,3091,True
L01-1,2,8,3090,2999,1,141,142,3091,1884941,1888032,3090,True
L01-1,2,9,33484,2999,1,143,146,-33483,1921515,1888032,-33484,True
L01-1,2,10,3093,2999,1,147,150,3094,1921515,1924609,3093,True
L01-1,2,11,286649,2999,171,152,153,286818,2158880,2445528,-286649,True
L01-1,2,12,3091,2999,1586,159,160,4677,2583286,2586378,3091,True
L01-1,2,13,3093,2999,1,161,163,3094,3285854,3288948,3093,True
L01-1,2,14,4662,2999,169,167,169,4831,3616796,3621459,4662,True
L01-1,2,15,3092,2999,1,170,171,3093,3786317,3789410,3092,True
L01-1,2,16,4663,2999,1,172,173,4664,3883880,3888544,4663,True
L01-2,1,0,3093,2999,1,175,176,3094,476922,480016,3093,True
L01-2,1,2,16358,2998,2463,178,183,18822,1154338,1170697,16358,False
L01-2,1,3,3093,2999,1,185,186,3094,1372270,1375364,3093,True
L01-2,1,4,4663,2999,1,189,190,4664,1466372,1471036,4663,True
L01-2,1,5,3094,2999,1,191,194,3095,1953578,1956673,3094,True
L01-2,1,6,4660,2898,1,196,197,4762,2305319,2309980,4660,True
L01-2,1,7,3094,2999,1,205,208,3095,3372458,3375553,3094,True
L01-2,1,8,6336,2857,1,211,213,6479,3867105,3873442,6336,True
L01-2,1,9,4664,2999,1,214,215,4665,3967910,3972575,4664,True
L01-2,2,0,3094,2999,1,217,218,3095,476928,480023,3094,True
L01-2,2,1,4288,2998,1,219,222,4290,531618,535907,4288,True
L01-2,2,2,1538644,2998,1871,224,226,-1536772,2082417,543774,-1538644,True
L01-2,2,3,4664,2999,1,227,232,4665,1142290,1146955,4664,True
L01-2,2,4,3094,2997,1,238,239,3097,1158642,1161737,3094,True
L01-2,2,5,3094,2999,1,311,312,3095,1360211,1363306,3094,True
L01-2,2,6,4663,2999,1,315,316,4664,1457414,1462078,4663,True
L01-2,2,7,3094,2999,1,317,320,3095,1949299,1952394,3094,True
L01-2,2,8,1527252,2757,1,322,324,-1527009,2063158,535907,-1527252,True
L01-2,2,9,3094,2999,1,326,327,3095,2093453,2096548,3094,True
L01-2,2,10,3095,2999,1,328,329,3096,2300818,2303914,3095,True
L01-2,2,11,3094,2999,1,337,340,3095,3372642,3375737,3094,True
L01-2,2,12,3094,2999,1,343,344,3095,3522870,3525965,3094,True
L01-2,2,13,2486274,2999,148,348,349,-2486126,3846483,1360210,-2486274,True
L01-2,2,14,3305800,2851,1,396,467,3305949,543776,3849577,3305800,True
L01-2,2,15,522920,2979,153,468,469,-522747,3944027,3421108,-522920,False
L01-3,1,0,3094,2999,1,470,471,3095,480016,483111,3094,True
L01-3,1,1,4655,2063,274,472,473,5863,550690,555344,-4655,False
L01-3,1,2,153447,1003,617,474,478,-150836,1332936,1179488,153447,False
L01-3,1,3,3093,2999,1,480,481,3094,1391489,1394583,3093,True
L01-3,1,4,4664,2999,1,484,485,4665,1485592,1490257,4664,True
L01-3,1,5,3093,2999,1,486,489,3094,1978531,1981625,3093,True
L01-3,1,6,4665,2997,1,491,492,4668,2296981,2301647,4665,True
L01-3,1,7,3094,2999,1,500,503,3095,3374974,3378069,3094,True
L01-3,1,8,3093,2999,1,507,508,3094,3869522,3872616,3093,True
L01-3,1,9,3093,2999,1,509,510,3094,3970181,3973275,3093,True
L01-3,2,0,3094,2999,1,512,513,3095,5309,8404,3094,True
L01-3,2,1,3093,2999,1,514,515,3094,480028,483122,3093,True
L01-3,2,2,3094,2999,1,516,588,3095,552261,555356,3094,True
L01-3,2,3,3094,2999,1,589,592,3095,1178397,1181492,3094,True
L01-3,2,4,3094,2999,1,593,594,3095,1393493,1396588,3094,True
L01-3,2,5,4664,2999,1,597,598,4665,1487596,1492261,4664,True
L01-3,2,6,3092,2999,1105,599,606,4197,1564209,1567302,3092,True
L01-3,2,7,3093,2999,1,607,608,3094,1748725,1751819,3093,True
L01-3,2,8,3093,2999,1,610,613,3094,1820157,1823251,3093,True
L01-3,2,9,11939,2824,1,614,615,12115,1836335,1848275,11939,True
L01-3,2,10,7,2998,1,616,617,-5,1932254,1932248,-7,True
L01-3,2,11,737968,2590,1,618,619,738376,1236469,1974436,-737968,False
L01-3,2,12,211747,2999,171,621,622,211918,2289797,2501545,211747,False
L01-3,2,13,3094,2999,1,629,633,3095,2501784,2504879,3094,True
L01-3,2,14,3094,2999,1,634,635,3095,2801032,2804127,3094,True
L01-3,2,15,4663,2999,1,636,637,4664,2939974,2944638,4663,True
L01-3,2,16,966462,2757,252,638,640,-965970,2196179,1229716,966462,True
L01-3,2,17,3093,2999,1,644,647,3094,3443504,3446598,3093,True
L01-3,2,20,3094,2999,1,651,652,3095,3916543,3919638,3094,True
L01-4,1,0,3094,2999,1,654,655,3095,476917,480012,3094,True
L01-4,1,1,7,2998,1,656,658,-5,557155,557149,-7,True
L01-4,1,2,17778,2998,1,659,664,17780,1184720,1202499,17778,False
L01-4,1,3,3094,2999,1,666,667,3095,1405117,1408212,3094,True
L01-4,1,4,3094,2999,1,670,671,3095,1499219,1502314,3094,True
L01-4,1,5,3094,2999,1,672,675,3095,1987963,1991058,3094,True
L01-4,1,6,193731,2999,171,677,678,193902,2312630,2506362,193731,False
L01-4,1,7,3094,2999,1,685,688,3095,3362628,3365723,3094,True
L01-4,1,8,3094,2999,1,692,693,3095,3860177,3863272,3094,True
L01-4,1,9,4645,2999,1,694,695,4646,3957739,3962385,4645,True
L01-4,2,0,3093,2999,1,697,698,3094,487150,490244,3093,True
