is_id_desc,s_start_x_f,s_end_x_f,query_id_f,q_start_f,q_end_f,s_start_y_f,s_end_y_f,alignment_length_f,evalue_f,IS_strand_f,is_match_length_f,is_ins_pos_f,is_matched_f,s_start_x_r,s_end_x_r,query_id_r,q_start_r,q_end_r,s_start_y_r,s_end_y_r,alignment_length_r,evalue_r,IS_strand_r,is_match_length_r,is_ins_pos_r,is_matched_r,_is_length,_same_strand,_range_overlap,_range_distance,_same_ins_pos,_detected_is_start,_detected_is_end,status,insert_id_f,target_locus_status_f,insert_id_r,target_locus_status_r
0,480115,476924,0_f,1,3191,480119,476929,3191,0.0,False,3091,480019,True,476825,480016,0_r,1,3191,476829,480020,3192,0.0,False,3091,476929,True,3192,True,3091,0,False,476929,480019,pristine,2,original,1,original
1,555255,552064,1_f,1,99,560670,560572,99,9.37e-45,False,-1,560570,False,551965,555156,1_r,1,98,551971,552068,98,3.27e-44,False,-2,552071,False,3192,True,0,8504,False,552071,560570,unknown,6,new,3,new
2,709249,706058,2_f,1,99,711560,711462,99,9.37e-45,False,-1,711460,False,705959,709150,2_r,1,98,711372,711469,98,3.27e-44,False,-2,711472,False,3192,True,7,0,True,711460,711472,simple_insertion,7,new,7,new
3,1062128,1065319,3_f,1,101,1064448,1064548,101,7.69e-46,True,1,1064548,False,1065418,1062227,3_r,1,99,1064635,1064537,99,9.37e-45,True,-1,1064535,False,3192,True,11,0,True,1064535,1064548,simple_insertion,8,new,8,new
4,1188521,1193279,4_f,1,4758,1187742,1192502,4770,0.0,True,4658,1187842,True,1193378,1188620,4_r,1,99,1388910,1389008,99,1.4e-44,False,-1,1389010,False,4759,False,0,196408,False,1187842,1389010,unknown,9,original,12,new
5,1376631,1379821,5_f,1,98,1205653,1205556,98,3.27e-44,False,-2,1205553,False,1379920,1376730,5_r,1,3190,1192601,1189411,3191,0.0,True,3090,1192501,True,3191,False,0,12955,False,1192501,1205553,unknown,11,new,10,original
6,1396075,1392885,6_f,1,99,1389098,1389000,99,9.37e-45,False,-1,1388998,False,1392786,1395976,6_r,1,98,1205467,1205564,98,3.27e-44,False,-2,1205567,False,3191,True,0,183436,False,1205567,1388998,unknown,12,new,11,new
7,1412000,1415191,7_f,1,3191,1405025,1408215,3191,0.0,True,3091,1405125,True,1415290,1412099,7_r,1,3191,1408314,1405124,3191,0.0,True,3091,1408214,True,3192,True,3091,0,False,1405125,1408214,pristine,13,original,14,original
8,1510959,1506198,8_f,1,4761,1503991,1499231,4762,0.0,False,4661,1503891,True,1506099,1510860,8_r,1,4761,1499132,1503892,4762,0.0,False,4661,1499232,True,4762,True,4661,0,False,1499232,1503891,pristine,16,original,15,original
9,1685172,1681982,9_f,1,99,1676515,1676417,99,9.37e-45,False,-1,1676415,False,1681883,1685073,9_r,1,99,1674923,1675021,99,9.37e-45,False,-1,1675023,False,3191,True,0,1396,False,1675023,1676415,unknown,18,new,17,new
10,1754040,1750850,10_f,1,100,1742285,1742186,100,2.6799999999999997e-45,False,0,1742185,False,1750751,1753941,10_r,1,98,1742098,1742195,98,3.27e-44,False,-2,1742198,False,3191,True,9,0,True,1742185,1742198,simple_insertion,19,new,19,new
