first,last,ess_cnt,line,gen_id,is_cnt,ins_cnt,ins_cnt_simple,ess_bp,ess_IS_bp
20001,25000,1,L01-1,1,0,0,0,75,75
40001,45000,1,L01-1,1,0,0,0,1259,1259
55001,60000,3,L01-1,1,0,0,0,228,228
60001,65000,2,L01-1,1,0,0,0,1657,1657
65001,70000,1,L01-1,1,0,0,0,21,21
105001,110000,1,L01-1,1,0,0,0,545,545
120001,125000,2,L01-1,1,0,0,0,3382,3382
125001,130000,1,L01-1,1,0,0,0,0,0
195001,200000,2,L01-1,1,0,0,0,2094,2094
200001,205000,1,L01-1,1,0,0,0,1063,1063
235001,240000,1,L01-1,1,0,0,0,320,320
240001,245000,1,L01-1,1,0,0,0,537,537
245001,250000,5,L01-1,1,0,0,0,3089,3089
250001,255000,5,L01-1,1,0,0,0,1614,1614
255001,260000,3,L01-1,1,0,0,0,4603,4603
260001,265000,1,L01-1,1,0,0,0,3824,3824
325001,330000,2,L01-1,1,0,0,0,2574,2574
330001,335000,2,L01-1,1,0,0,0,1329,1329
335001,340000,1,L01-1,1,0,0,0,1415,1415
340001,345000,1,L01-1,1,0,0,0,0,0
345001,350000,1,L01-1,1,0,0,0,536,536
440001,445000,1,L01-1,1,0,0,0,171,171
445001,450000,3,L01-1,1,0,0,0,1928,1928
450001,455000,1,L01-1,1,0,0,0,406,406
460001,465000,2,L01-1,1,0,0,0,1371,1371
465001,470000,3,L01-1,1,0,0,0,1469,1469
470001,475000,1,L01-1,1,0,0,0,186,186
475001,480000,0,L01-1,1,1,0,0,0,3073
480001,485000,0,L01-1,1,1,0,0,0,20
500001,505000,1,L01-1,1,0,0,0,227,227
525001,530000,1,L01-1,1,0,0,0,530,530
550001,555000,0,L01-1,1,0,1,0,0,0
555001,560000,0,L01-1,1,1,0,0,0,2834
560001,565000,1,L01-1,1,1,1,0,2855,3114
565001,570000,2,L01-1,1,0,0,0,2182,2182
585001,590000,2,L01-1,1,0,0,0,1276,1276
640001,645000,2,L01-1,1,0,0,0,1297,1297
645001,650000,3,L01-1,1,0,0,0,3904,3904
650001,655000,1,L01-1,1,0,0,0,821,821
670001,675000,1,L01-1,1,0,0,0,479,479
675001,680000,1,L01-1,1,0,0,0,2354,2354
710001,715000,2,L01-1,1,0,1,1,1703,1703
715001,720000,5,L01-1,1,0,0,0,4997,4997
720001,725000,4,L01-1,1,0,0,0,4435,4435
725001,730000,5,L01-1,1,0,0,0,4203,4203
730001,735000,3,L01-1,1,0,0,0,3323,3323
735001,740000,1,L01-1,1,0,0,0,468,468
760001,765000,1,L01-1,1,0,0,0,662,662
775001,780000,1,L01-1,1,0,0,0,479,479
780001,785000,1,L01-1,1,0,0,0,0,0
785001,790000,1,L01-1,1,0,0,0,60,60
790001,795000,2,L01-1,1,0,0,0,1564,1564
800001,805000,1,L01-1,1,0,0,0,824,824
805001,810000,6,L01-1,1,0,0,0,3794,3794
810001,815000,5,L01-1,1,0,0,0,4759,4759
815001,820000,5,L01-1,1,0,0,0,4280,4280
820001,825000,3,L01-1,1,0,0,0,4357,4357
825001,830000,2,L01-1,1,0,0,0,2215,2215
830001,835000,1,L01-1,1,0,0,0,1607,1607
835001,840000,1,L01-1,1,0,0,0,111,111
930001,935000,1,L01-1,1,0,0,0,974,974
960001,965000,2,L01-1,1,0,0,0,2124,2124
965001,970000,3,L01-1,1,0,0,0,1933,1933
970001,975000,4,L01-1,1,0,0,0,3198,3198
