start,end,IS_strand,max_alignment_length,length,cluster_id,Line,Gen
476928,480020,reverse,3093,3093,0,L01-1,1
557167,560259,reverse,3093,3093,1,L01-1,1
1187831,1192502,forward,3093,4672,2,L01-1,1
1405123,1408215,forward,3093,3093,3,L01-1,1
1499230,1503892,reverse,3093,4663,4,L01-1,1
1986448,1991110,forward,3093,4663,5,L01-1,1
2306486,2311148,reverse,3093,4663,6,L01-1,1
3373645,3376737,reverse,3093,3093,7,L01-1,1
3866530,3869621,forward,3092,3092,8,L01-1,1
3964094,3968754,forward,3093,4661,9,L01-1,1
476905,479996,reverse,3093,3092,0,L01-1,2
552507,555599,reverse,3093,3093,1,L01-1,2
706499,709590,reverse,3092,3092,2,L01-1,2
1185963,1190625,forward,3093,4663,3,L01-1,2
1203691,1206783,reverse,3093,3093,4,L01-1,2
1406354,1409445,forward,3092,3092,5,L01-1,2
1500452,1505113,reverse,3093,4662,6,L01-1,2
1676786,1679878,reverse,3093,3093,7,L01-1,2
1957284,1960376,forward,3093,3093,8,L01-1,2
1993862,1998524,forward,3093,4663,9,L01-1,2
2313894,2318556,reverse,3093,4663,10,L01-1,2
2668732,2671823,forward,3092,3092,11,L01-1,2
3379915,3383006,reverse,3092,3092,12,L01-1,2
3710869,3715531,forward,3093,4663,13,L01-1,2
3877459,3880550,forward,3093,3092,14,L01-1,2
3975017,3979679,forward,3093,4663,15,L01-1,2
476924,480016,reverse,3093,3093,0,L01-1,3
552064,555156,reverse,3093,3093,1,L01-1,3
706058,709150,reverse,3093,3093,2,L01-1,3
1062227,1065319,forward,3093,3093,3,L01-1,3
1188620,1193279,forward,3092,4660,4,L01-1,3
1376730,1379821,forward,3092,3092,5,L01-1,3
1392885,1395976,reverse,3092,3092,6,L01-1,3
1412099,1415191,forward,3093,3093,7,L01-1,3
1506198,1510860,reverse,3093,4663,8,L01-1,3
1681982,1685073,reverse,3093,3092,9,L01-1,3
1750850,1753941,reverse,3093,3092,10,L01-1,3
1782569,1785661,reverse,3093,3093,11,L01-1,3
1802343,1805435,forward,3093,3093,12,L01-1,3
1851804,1854895,reverse,3093,3092,13,L01-1,3
1884941,1888029,forward,3092,3089,14,L01-1,3
1921515,1924606,forward,3092,3092,15,L01-1,3
2063472,2066564,reverse,3093,3093,16,L01-1,3
2110187,2113278,forward,3093,3092,17,L01-1,3
2154219,2158880,forward,3092,4662,18,L01-1,3
2239724,2242816,reverse,3093,3093,19,L01-1,3
2325865,2328957,reverse,3093,3093,20,L01-1,3
2583286,2586378,forward,3093,3093,21,L01-1,3
2734449,2737541,reverse,3093,3093,22,L01-1,3
2976833,2979924,reverse,3093,3092,23,L01-1,3
2992705,2997916,forward,3093,5212,24,L01-1,3
3285854,3288945,reverse,3093,3092,25,L01-1,3
3616796,3621458,forward,3093,4663,26,L01-1,3
3751828,3754921,reverse,3094,3094,27,L01-1,3
3786317,3789407,forward,3092,3091,28,L01-1,3
3883880,3888541,forward,3093,4662,29,L01-1,3
476928,480020,reverse,3093,3093,0,L01-2,1
557167,560259,reverse,3093,3093,1,L01-2,1
1187831,1192502,forward,3093,4672,2,L01-2,1
1405123,1408215,forward,3093,3093,3,L01-2,1
1499230,1503892,reverse,3093,4663,4,L01-2,1
1986448,1991110,forward,3093,4663,5,L01-2,1
2306486,2311148,reverse,3093,4663,6,L01-2,1
3373645,3376737,reverse,3093,3093,7,L01-2,1
3866530,3869621,forward,3092,3092,8,L01-2,1
3964094,3968754,forward,3093,4661,9,L01-2,1
476922,480013,reverse,3092,3092,0,L01-2,2
531608,534700,reverse,3093,3093,1,L01-2,2
550866,553958,forward,3093,3093,2,L01-2,2
1154348,1159008,forward,3093,4661,3,L01-2,2
1170698,1173790,reverse,3093,3093,4,L01-2,2
1372270,1375361,forward,3092,3092,5,L01-2,2
1466372,1471033,reverse,3093,4662,6,L01-2,2
1953578,1956670,forward,3093,3093,7,L01-2,2
2067674,2070766,reverse,3093,3093,8,L01-2,2
2097966,2101058,forward,3093,3093,9,L01-2,2
2305320,2309979,reverse,3092,4660,10,L01-2,2
3372458,3375550,reverse,3094,3093,11,L01-2,2
3522684,3525774,forward,3092,3091,12,L01-2,2
3867106,3870196,forward,3093,3091,13,L01-2,2
3870347,3873439,forward,3093,3093,14,L01-2,2
3967910,3972572,forward,3092,4663,15,L01-2,2
476928,480020,reverse,3093,3093,0,L01-2,3
532813,535904,reverse,3092,3092,1,L01-2,3
540682,543773,forward,3093,3092,2,L01-2,3
1142290,1146952,forward,3093,4663,3,L01-2,3
1158643,1161734,reverse,3093,3092,4,L01-2,3
1360211,1363303,forward,3093,3093,5,L01-2,3
1425840,1428932,reverse,3093,3093,6,L01-2,3
1457414,1462075,reverse,3093,4662,7,L01-2,3
1519060,1523721,reverse,3092,4662,8,L01-2,3
1949299,1952391,forward,3093,3093,9,L01-2,3
2063159,2066251,reverse,3093,3093,10,L01-2,3
2093453,2096545,forward,3093,3093,11,L01-2,3
2300818,2303909,reverse,3092,3092,12,L01-2,3
2658914,2662006,forward,3093,3093,13,L01-2,3
3222135,3225227,reverse,3093,3093,14,L01-2,3
3372642,3375734,reverse,3093,3093,15,L01-2,3
3522870,3525962,forward,3093,3093,16,L01-2,3
3721265,3724357,reverse,3093,3093,17,L01-2,3
3769364,3772456,forward,3093,3093,18,L01-2,3
3846483,3849574,forward,3093,3092,19,L01-2,3
3944028,3948690,forward,3093,4663,20,L01-2,3
476928,480020,reverse,3093,3093,0,L01-3,1
557167,560259,reverse,3093,3093,1,L01-3,1
1187831,1192502,forward,3093,4672,2,L01-3,1
1405123,1408215,forward,3093,3093,3,L01-3,1
1499230,1503892,reverse,3093,4663,4,L01-3,1
1986448,1991110,forward,3093,4663,5,L01-3,1
2306486,2311148,reverse,3093,4663,6,L01-3,1
3373645,3376737,reverse,3093,3093,7,L01-3,1
3866530,3869621,forward,3092,3092,8,L01-3,1
3964094,3968754,forward,3093,4661,9,L01-3,1
5309,8399,forward,3093,3091,0,L01-3,2
480016,483108,reverse,3093,3093,1,L01-3,2
552251,555343,reverse,3093,3093,2,L01-3,2
1176395,1179487,forward,3093,3093,3,L01-3,2
1391489,1394580,forward,3093,3092,4,L01-3,2
1485592,1490254,reverse,3094,4663,5,L01-3,2
1562197,1565289,forward,3094,3093,6,L01-3,2
1747814,1750906,reverse,3093,3093,7,L01-3,2
1819247,1822339,reverse,3093,3093,8,L01-3,2
1835601,1838692,forward,3093,3092,9,L01-3,2
1922673,1925768,reverse,3096,3096,10,L01-3,2
1978531,1981622,forward,3093,3092,11,L01-3,2
