sseqid,qseqid,qstart,qend,sstart,send,length,evalue,bitscore,pident
contig_1,L01-1.2.0.dir,1,299,476627,476924,299,1.11e-151,532.0,99.666
contig_1,L01-1.2.0.tail,1,299,480019,480317,299,2.14e-154,540.0,100.0
contig_1,L01-1.2.1.tail,1,299,555159,555457,299,2.14e-154,540.0,100.0
contig_1,L01-1.2.2.dir,1,299,705760,706058,299,2.14e-154,540.0,100.0
contig_1,L01-1.2.2.tail,1,299,709153,709451,299,2.14e-154,540.0,100.0
contig_1,L01-1.2.3.dir,1,299,1188322,1188620,299,2.14e-154,540.0,100.0
contig_1,L01-1.2.3.tail,1,299,1392882,1392583,300,3.17e-152,534.0,99.667
contig_1,L01-1.2.4.dir,1,299,1380118,1379821,299,1.11e-151,532.0,99.666
contig_1,L01-1.2.4.dir,74,294,1089096,1089316,221,2.45e-14,75.2,67.421
contig_1,L01-1.2.4.tail,1,299,1376727,1376429,299,2.14e-154,540.0,100.0
contig_1,L01-1.2.4.tail,119,299,2445501,2445336,181,3.41e-25,111.0,72.928
contig_1,L01-1.2.5.dir,1,299,1411801,1412099,299,2.14e-154,540.0,100.0
contig_1,L01-1.2.5.tail,1,299,1415194,1415492,299,2.14e-154,540.0,100.0
contig_1,L01-1.2.6.dir,1,299,1505900,1506198,299,2.14e-154,540.0,100.0
contig_1,L01-1.2.6.tail,1,299,1510863,1511161,299,2.14e-154,540.0,100.0
contig_1,L01-1.2.8.dir,1,299,1884643,1884941,299,2.14e-154,540.0,100.0
contig_1,L01-1.2.8.tail,1,299,1888032,1888330,299,2.14e-154,540.0,100.0
contig_1,L01-1.2.9.dir,1,299,1921217,1921515,299,2.14e-154,540.0,100.0
contig_1,L01-1.2.9.tail,1,299,1924609,1924907,299,2.14e-154,540.0,100.0
contig_1,L01-1.2.10.dir,1,299,2159178,2158880,299,2.14e-154,540.0,100.0
contig_1,L01-1.2.10.tail,171,298,2445528,2445401,128,3.19e-19,92.4,75.781
contig_1,L01-1.2.11.dir,1,299,2582988,2583286,299,2.14e-154,540.0,100.0
contig_1,L01-1.2.12.dir,1,299,3285556,3285854,299,2.14e-154,540.0,100.0
contig_1,L01-1.2.12.tail,1,299,3288948,3289246,299,2.14e-154,540.0,100.0
contig_1,L01-1.2.12.tail,1,228,547921,548148,228,7.510000000000001e-21,96.9,69.298
contig_1,L01-1.2.13.dir,1,299,3616498,3616796,299,2.14e-154,540.0,100.0
contig_1,L01-1.2.13.tail,169,299,3621459,3621589,131,3.4e-63,237.0,100.0
contig_1,L01-1.2.14.dir,1,299,3786019,3786317,299,2.14e-154,540.0,100.0
contig_1,L01-1.2.14.tail,1,299,3789410,3789708,299,2.14e-154,540.0,100.0
contig_1,L01-1.2.15.dir,1,299,3883582,3883880,299,2.14e-154,540.0,100.0
contig_1,L01-1.2.15.tail,1,299,3888544,3888842,299,2.14e-154,540.0,100.0
