Line,Gen,is_cluster_id,dir,read_name,sseqid,qstart,qend,sstart,send,length,evalue,bitscore,pident
L01-1,1,0,head,L01-1.1.0.dir,L01-1_genome.2_m,1,299,476607,476905,299,2.1900000000000002e-154,540.0,100.0
L01-1,1,0,tail,L01-1.1.0.tail,L01-1_genome.2_m,1,299,479999,480297,299,2.1900000000000002e-154,540.0,100.0
L01-1,1,2,head,L01-1.1.2.dir,L01-1_genome.2_m,1,298,1185656,1185953,298,7.63e-154,538.0,100.0
L01-1,1,2,tail,L01-1.1.2.tail,L01-1_genome.2_m,2,299,1203686,1203389,298,7.63e-154,538.0,100.0
L01-1,1,2,tail,L01-1.1.2.tail,L01-1_genome.2_m,1,222,1086662,1086441,222,7.19e-15,77.0,67.568
L01-1,1,3,head,L01-1.1.3.dir,L01-1_genome.2_m,1,299,1406056,1406354,299,2.1900000000000002e-154,540.0,100.0
L01-1,1,3,tail,L01-1.1.3.tail,L01-1_genome.2_m,1,299,1409448,1409746,299,2.1900000000000002e-154,540.0,100.0
L01-1,1,4,head,L01-1.1.4.dir,L01-1_genome.2_m,1,299,1500154,1500452,299,2.1900000000000002e-154,540.0,100.0
L01-1,1,4,tail,L01-1.1.4.tail,L01-1_genome.2_m,1,299,1505116,1505414,299,2.1900000000000002e-154,540.0,100.0
L01-1,1,5,head,L01-1.1.5.dir,L01-1_genome.2_m,1,299,1993564,1993862,299,2.1900000000000002e-154,540.0,100.0
L01-1,1,5,tail,L01-1.1.5.tail,L01-1_genome.2_m,1,299,1998527,1998825,299,2.1900000000000002e-154,540.0,100.0
L01-1,1,6,head,L01-1.1.6.dir,L01-1_genome.2_m,1,299,2313596,2313894,299,2.1900000000000002e-154,540.0,100.0
L01-1,1,6,tail,L01-1.1.6.tail,L01-1_genome.2_m,1,299,2318559,2318857,299,2.1900000000000002e-154,540.0,100.0
L01-1,1,6,tail,L01-1.1.6.tail,L01-1_genome.2_m,171,298,2530971,2530844,128,3.27e-19,92.4,75.781
L01-1,1,7,head,L01-1.1.7.dir,L01-1_genome.2_m,1,299,3379617,3379915,299,2.1900000000000002e-154,540.0,100.0
L01-1,1,7,head,L01-1.1.7.dir,L01-1_genome.2_m,1,59,3086875,3086817,59,2.51e-14,76.1,88.136
L01-1,1,7,tail,L01-1.1.7.tail,L01-1_genome.2_m,1,299,3383009,3383307,299,2.1900000000000002e-154,540.0,100.0
L01-1,1,7,tail,L01-1.1.7.tail,L01-1_genome.2_m,1,228,547902,548129,228,7.68e-21,96.9,69.298
L01-1,1,8,head,L01-1.1.8.dir,L01-1_genome.2_m,1,299,3877161,3877459,299,2.1900000000000002e-154,540.0,100.0
L01-1,1,8,tail,L01-1.1.8.tail,L01-1_genome.2_m,1,299,3880553,3880851,299,9.3e-153,535.0,99.666
L01-1,1,9,head,L01-1.1.9.dir,L01-1_genome.2_m,1,299,3974719,3975017,299,2.1900000000000002e-154,540.0,100.0
L01-1,1,9,tail,L01-1.1.9.tail,L01-1_genome.2_m,1,299,3979682,3979980,299,2.1900000000000002e-154,540.0,100.0
L01-1,2,0,head,L01-1.2.0.dir,contig_1,1,299,476627,476924,299,1.11e-151,532.0,99.666
L01-1,2,0,tail,L01-1.2.0.tail,contig_1,1,299,480019,480317,299,2.14e-154,540.0,100.0
L01-1,2,1,tail,L01-1.2.1.tail,contig_1,1,299,555159,555457,299,2.14e-154,540.0,100.0
L01-1,2,2,head,L01-1.2.2.dir,contig_1,1,299,705760,706058,299,2.14e-154,540.0,100.0
L01-1,2,2,tail,L01-1.2.2.tail,contig_1,1,299,709153,709451,299,2.14e-154,540.0,100.0
L01-1,2,3,head,L01-1.2.3.dir,contig_1,1,299,1188322,1188620,299,2.14e-154,540.0,100.0
L01-1,2,3,tail,L01-1.2.3.tail,contig_1,1,299,1392882,1392583,300,3.17e-152,534.0,99.667
L01-1,2,4,head,L01-1.2.4.dir,contig_1,1,299,1380118,1379821,299,1.11e-151,532.0,99.666
L01-1,2,4,head,L01-1.2.4.dir,contig_1,74,294,1089096,1089316,221,2.45e-14,75.2,67.421
L01-1,2,4,tail,L01-1.2.4.tail,contig_1,1,299,1376727,1376429,299,2.14e-154,540.0,100.0
L01-1,2,4,tail,L01-1.2.4.tail,contig_1,119,299,2445501,2445336,181,3.41e-25,111.0,72.928
L01-1,2,5,head,L01-1.2.5.dir,contig_1,1,299,1411801,1412099,299,2.14e-154,540.0,100.0
L01-1,2,5,tail,L01-1.2.5.tail,contig_1,1,299,1415194,1415492,299,2.14e-154,540.0,100.0
L01-1,2,6,head,L01-1.2.6.dir,contig_1,1,299,1505900,1506198,299,2.14e-154,540.0,100.0
L01-1,2,6,tail,L01-1.2.6.tail,contig_1,1,299,1510863,1511161,299,2.14e-154,540.0,100.0
L01-1,2,8,head,L01-1.2.8.dir,contig_1,1,299,1884643,1884941,299,2.14e-154,540.0,100.0
L01-1,2,8,tail,L01-1.2.8.tail,contig_1,1,299,1888032,1888330,299,2.14e-154,540.0,100.0
L01-1,2,9,head,L01-1.2.9.dir,contig_1,1,299,1921217,1921515,299,2.14e-154,540.0,100.0
L01-1,2,9,tail,L01-1.2.9.tail,contig_1,1,299,1924609,1924907,299,2.14e-154,540.0,100.0
L01-1,2,10,head,L01-1.2.10.dir,contig_1,1,299,2159178,2158880,299,2.14e-154,540.0,100.0
L01-1,2,10,tail,L01-1.2.10.tail,contig_1,171,298,2445528,2445401,128,3.19e-19,92.4,75.781
L01-1,2,11,head,L01-1.2.11.dir,contig_1,1,299,2582988,2583286,299,2.14e-154,540.0,100.0
L01-1,2,12,head,L01-1.2.12.dir,contig_1,1,299,3285556,3285854,299,2.14e-154,540.0,100.0
L01-1,2,12,tail,L01-1.2.12.tail,contig_1,1,299,3288948,3289246,299,2.14e-154,540.0,100.0
L01-1,2,12,tail,L01-1.2.12.tail,contig_1,1,228,547921,548148,228,7.510000000000001e-21,96.9,69.298
L01-1,2,13,head,L01-1.2.13.dir,contig_1,1,299,3616498,3616796,299,2.14e-154,540.0,100.0
L01-1,2,13,tail,L01-1.2.13.tail,contig_1,169,299,3621459,3621589,131,3.4e-63,237.0,100.0
L01-1,2,14,head,L01-1.2.14.dir,contig_1,1,299,3786019,3786317,299,2.14e-154,540.0,100.0
L01-1,2,14,tail,L01-1.2.14.tail,contig_1,1,299,3789410,3789708,299,2.14e-154,540.0,100.0
L01-1,2,15,head,L01-1.2.15.dir,contig_1,1,299,3883582,3883880,299,2.14e-154,540.0,100.0
L01-1,2,15,tail,L01-1.2.15.tail,contig_1,1,299,3888544,3888842,299,2.14e-154,540.0,100.0
L01-2,1,0,head,L01-2.1.0.dir,contig_1,1,299,476624,476922,299,2.18e-154,540.0,100.0
L01-2,1,0,tail,L01-2.1.0.tail,contig_1,1,299,480016,480314,299,2.18e-154,540.0,100.0
L01-2,1,1,tail,L01-2.1.1.tail,contig_1,1,299,2097964,2097668,299,1.38e-150,528.0,99.331
L01-2,1,2,head,L01-2.1.2.dir,contig_1,1,298,1154041,1154338,298,7.62e-154,538.0,100.0
L01-2,1,2,tail,L01-2.1.2.tail,contig_1,1,222,1055045,1054824,222,7.18e-15,77.0,67.568
L01-2,1,3,head,L01-2.1.3.dir,contig_1,1,299,1371972,1372270,299,2.18e-154,540.0,100.0
L01-2,1,3,tail,L01-2.1.3.tail,contig_1,1,299,1375364,1375662,299,2.18e-154,540.0,100.0
L01-2,1,4,head,L01-2.1.4.dir,contig_1,1,299,1466074,1466372,299,2.18e-154,540.0,100.0
L01-2,1,4,tail,L01-2.1.4.tail,contig_1,1,299,1471036,1471334,299,2.18e-154,540.0,100.0
L01-2,1,5,head,L01-2.1.5.dir,contig_1,1,299,1953280,1953578,299,2.18e-154,540.0,100.0
L01-2,1,5,tail,L01-2.1.5.tail,contig_1,1,299,1956673,1956971,299,2.18e-154,540.0,100.0
L01-2,1,6,head,L01-2.1.6.dir,contig_1,1,198,2305122,2305319,198,1.47e-99,358.0,100.0
L01-2,1,6,tail,L01-2.1.6.tail,contig_1,1,299,2309980,2310279,300,3.24e-152,534.0,99.667
L01-2,1,6,tail,L01-2.1.6.tail,contig_1,171,298,2522395,2522268,128,3.26e-19,92.4,75.781
L01-2,1,7,head,L01-2.1.7.dir,contig_1,1,299,3372160,3372458,299,2.18e-154,540.0,100.0
L01-2,1,7,head,L01-2.1.7.dir,contig_1,1,59,3079417,3079359,59,2.51e-14,76.1,88.136
L01-2,1,7,tail,L01-2.1.7.tail,contig_1,1,299,3375553,3375851,299,2.18e-154,540.0,100.0
L01-2,1,8,head,L01-2.1.8.dir,contig_1,1,157,3866949,3867105,157,2.67e-77,284.0,100.0
L01-2,1,8,head,L01-2.1.8.dir,contig_1,148,299,3870196,3870347,152,1.38e-74,275.0,100.0
L01-2,1,8,tail,L01-2.1.8.tail,contig_1,1,299,3873442,3873740,299,9.28e-153,535.0,99.666
L01-2,1,9,head,L01-2.1.9.dir,contig_1,1,299,3967612,3967910,299,2.18e-154,540.0,100.0
L01-2,1,9,tail,L01-2.1.9.tail,contig_1,1,299,3972575,3972873,299,2.18e-154,540.0,100.0
L01-2,2,0,head,L01-2.2.0.dir,contig_1,1,299,476630,476928,299,2.17e-154,540.0,100.0
L01-2,2,0,tail,L01-2.2.0.tail,contig_1,1,299,480023,480321,299,2.17e-154,540.0,100.0
L01-2,2,1,head,L01-2.2.1.dir,contig_1,1,298,531321,531618,298,7.56e-154,538.0,100.0
L01-2,2,1,tail,L01-2.2.1.tail,contig_1,1,299,535907,536205,299,2.17e-154,540.0,100.0
L01-2,2,1,tail,L01-2.2.1.tail,contig_1,1,299,2066254,2066552,299,2.17e-154,540.0,100.0
L01-2,2,2,head,L01-2.2.2.dir,contig_1,1,298,2082120,2082417,298,7.56e-154,538.0,100.0
L01-2,2,3,head,L01-2.2.3.dir,contig_1,1,299,1141993,1142290,299,1.12e-151,532.0,99.666
L01-2,2,3,tail,L01-2.2.3.tail,contig_1,1,299,1146955,1147253,299,2.17e-154,540.0,100.0
L01-2,2,3,tail,L01-2.2.3.tail,contig_1,4,166,2515316,2515481,167,1.57e-29,126.0,77.246
