is_id_desc,flank_id,s_start_x,s_end_x,flank,subject_id,query_id,q_start,q_end,s_start_y,s_end_y,alignment_length,evalue,IS_strand,is_match_length,is_ins_pos
0,0_r,476829,480020,r,MDS42(AP012306),0_r,1,98,476836,476933,98,3.25e-44,False,-2,476936
0,0_f,480119,476928,f,MDS42(AP012306),0_f,1,99,477023,476925,99,9.309999999999999e-45,False,-1,476923
1,1_r,557068,560259,r,MDS42(AP012306),1_r,1,98,553976,554073,98,3.25e-44,False,-2,554076
1,1_f,560358,557167,f,MDS42(AP012306),1_f,1,99,554163,554065,99,9.309999999999999e-45,False,-1,554063
2,2_f,1187732,1192502,f,MDS42(AP012306),2_f,1,98,1181500,1181597,98,4.87e-44,True,-2,1181600
2,2_r,1192601,1187831,r,MDS42(AP012306),2_r,1,99,1488230,1488328,99,1.4e-44,False,-1,1488330
3,3_f,1405024,1408215,f,MDS42(AP012306),3_f,1,3191,1275799,1272610,3191,0.0,False,3091,1275699
3,3_r,1408314,1405123,r,MDS42(AP012306),3_r,1,3191,1272511,1275700,3191,0.0,False,3091,1272611
4,4_r,1499131,1503892,r,MDS42(AP012306),4_r,1,98,1181695,1181598,98,4.86e-44,True,-2,1181595
4,4_f,1503991,1499230,f,MDS42(AP012306),4_f,1,99,1489095,1488997,99,1.39e-44,False,-1,1488995
5,5_f,1986349,1991110,f,MDS42(AP012306),5_f,1,99,1971462,1971560,99,1.39e-44,True,-1,1971562
5,5_r,1991209,1986448,r,MDS42(AP012306),5_r,1,99,1980892,1980794,99,1.39e-44,True,-1,1980792
6,6_r,2306387,2311148,r,MDS42(AP012306),6_r,1,98,2296073,2296170,98,4.86e-44,False,-2,2296173
6,6_f,2311247,2306486,f,MDS42(AP012306),6_f,1,99,2296260,2296162,99,1.39e-44,False,-1,2296160
7,7_r,3373546,3376737,r,MDS42(AP012306),7_r,1,98,3358594,3358691,98,3.25e-44,False,-2,3358694
7,7_f,3376836,3373645,f,MDS42(AP012306),7_f,1,99,3358781,3358683,99,9.309999999999999e-45,False,-1,3358681
8,8_f,3866431,3869621,f,MDS42(AP012306),8_f,1,98,3848376,3848473,98,3.25e-44,True,-2,3848476
8,8_r,3869720,3866530,r,MDS42(AP012306),8_r,1,99,3848563,3848465,99,9.309999999999999e-45,True,-1,3848463
9,9_f,3963995,3968754,f,MDS42(AP012306),9_f,1,98,3942922,3943019,98,4.86e-44,True,-2,3943022
9,9_r,3968853,3964094,r,MDS42(AP012306),9_r,1,99,3945427,3945329,99,1.39e-44,True,-1,3945327
