pos_id,IS_strand,flank,pos,genome,cluster_id,insert_id,flankMatchDir,position_status,sv
0,False,f,476928,Ref,43,1,False,original,pristine
1,False,f,557167,Ref,42,4,False,lost_fragment,unknown
2,True,f,1187831,Ref,19,9,True,original,unknown
3,True,f,1405123,Ref,46,13,True,original,pristine
4,False,f,1499230,Ref,8,15,False,original,pristine
5,True,f,1986448,Ref,3,26,True,original,pristine
6,False,f,2306486,Ref,36,32,False,original,unknown
7,False,f,3373645,Ref,21,43,False,original,pristine
8,True,f,3866530,Ref,22,48,True,original,pristine
9,True,f,3964094,Ref,40,50,True,original,pristine
0,False,r,480020,Ref,44,2,True,original,pristine
1,False,r,560259,Ref,49,5,True,lost_fragment,unknown
2,True,r,1192502,Ref,15,10,False,original,unknown
3,True,r,1408215,Ref,29,14,False,original,pristine
4,False,r,1503892,Ref,27,16,True,original,pristine
5,True,r,1991110,Ref,39,27,False,original,pristine
6,False,r,2311148,Ref,30,33,True,lost_fragment,unknown
7,False,r,3376737,Ref,13,44,True,original,pristine
8,True,r,3869621,Ref,7,49,False,original,pristine
9,True,r,3968754,Ref,17,51,False,original,pristine
0,False,r,476929,Query,43,1,True,original,pristine
0,False,f,480019,Query,44,2,False,original,pristine
1,False,r,552071,Query,35,3,True,new,unknown
1,False,f,560570,Query,28,6,False,new,unknown
2,False,r,711472,Query,11,7,True,new,simple_insertion
2,False,f,711460,Query,11,7,False,new,simple_insertion
3,True,f,1064548,Query,26,8,True,new,simple_insertion
3,True,r,1064535,Query,26,8,False,new,simple_insertion
4,True,f,1187842,Query,19,9,True,original,unknown
4,False,r,1389010,Query,14,12,True,new,unknown
5,False,f,1205553,Query,2,11,False,new,unknown
5,True,r,1192501,Query,15,10,False,original,unknown
6,False,r,1205567,Query,2,11,True,new,unknown
6,False,f,1388998,Query,14,12,False,new,unknown
7,True,f,1405125,Query,46,13,True,original,pristine
7,True,r,1408214,Query,29,14,False,original,pristine
8,False,r,1499232,Query,8,15,True,original,pristine
8,False,f,1503891,Query,27,16,False,original,pristine
9,False,r,1675023,Query,47,17,True,new,unknown
9,False,f,1676415,Query,48,18,False,new,unknown
10,False,r,1742198,Query,12,19,True,new,simple_insertion
10,False,f,1742185,Query,12,19,False,new,simple_insertion
11,False,r,1770816,Query,6,20,True,new,simple_insertion
11,False,f,1770803,Query,6,20,False,new,simple_insertion
12,True,f,1787489,Query,23,21,True,new,unknown
12,True,r,1788080,Query,38,22,False,new,unknown
13,False,r,1834458,Query,41,23,True,new,unknown
13,False,f,1922920,Query,25,24,False,new,unknown
14,True,f,1952972,Query,9,25,True,new,simple_insertion
14,True,r,1952959,Query,9,25,False,new,simple_insertion
15,True,f,1986450,Query,3,26,True,original,pristine
15,True,r,1991109,Query,39,27,False,original,pristine
16,False,r,2129979,Query,10,28,True,new,simple_insertion
16,False,f,2129966,Query,10,28,False,new,simple_insertion
17,True,f,2173597,Query,4,29,True,new,simple_insertion
17,True,r,2173584,Query,4,29,False,new,simple_insertion
18,True,f,2214531,Query,32,30,True,new,unknown
18,False,r,2306487,Query,36,32,True,original,unknown
19,True,r,2225636,Query,45,31,False,new,unknown
19,False,f,2319453,Query,33,34,False,new,unknown
20,False,r,2402509,Query,20,35,True,new,unknown
20,False,f,2406992,Query,31,36,False,new,unknown
21,True,f,2661333,Query,34,37,True,new,unknown
21,True,r,2667126,Query,16,38,False,new,unknown
22,False,r,2815204,Query,1,39,True,new,simple_insertion
22,False,f,2815191,Query,1,39,False,new,simple_insertion
23,False,r,3054489,Query,0,40,True,new,unknown
23,True,f,3067259,Query,50,41,True,new,unknown
24,False,f,3054475,Query,0,40,False,new,unknown
24,True,r,3085695,Query,37,42,False,new,unknown
25,False,r,3373647,Query,21,43,True,original,pristine
25,False,f,3376736,Query,13,44,False,original,pristine
26,True,f,3704609,Query,24,45,True,new,unknown
26,True,r,3704766,Query,18,46,False,new,unknown
27,False,r,3835142,Query,5,47,True,new,simple_insertion
27,False,f,3835129,Query,5,47,False,new,simple_insertion
28,True,f,3866532,Query,22,48,True,original,pristine
28,True,r,3869620,Query,7,49,False,original,pristine
29,True,f,3964096,Query,40,50,True,original,pristine
29,True,r,3968753,Query,17,51,False,original,pristine
