# Values represent the total length of each category that contribute to genome size changes in bp.
ParentLine,SubLine,gen_id,RecA,genome_size,is_length,Deletion,Duplication,Pristine,is_cnt
1,1,2,1,4051419,61995,9155,33490,3955910,17
1,2,2,1,4007666,55756,29274,16166,3935791,16
1,3,2,1,4008366,69655,26288,0,3938777,21
1,4,2,1,3997478,58839,26452,0,3938613,17
2,1,2,1,4062589,77475,49742,57474,3927611,24
2,2,2,1,4038944,85449,40482,16503,3936871,25
2,3,2,1,4017898,79266,57901,19158,3919452,25
2,4,2,1,3961175,87166,103361,0,3873992,27
3,1,2,1,3961342,45377,0,0,3916002,14
3,2,2,1,3969971,60826,6819,0,3909183,19
3,3,2,1,3981743,62508,29169,32319,3886833,20
3,4,2,1,4033559,70112,0,47298,3916002,22
4,1,2,1,4023163,68038,29300,34913,3920234,22
4,2,2,1,3989943,58761,18375,0,3931159,19
4,3,2,1,4313032,80396,50829,334131,3898705,26
4,4,2,1,4025553,71141,36539,41419,3912995,23
5,1,2,1,3963853,60369,12585,0,3903645,19
5,2,2,1,3977992,73798,50202,37695,3866416,23
5,3,2,1,3869555,59892,107063,0,3809555,19
5,4,2,1,4088211,68043,31337,134994,3884893,22
6,1,2,1,3994378,58753,12033,0,3935645,19
6,2,2,1,4000919,80398,27127,0,3920551,26
6,3,2,1,3950802,61849,58691,0,3888987,20
6,4,2,1,3977135,74239,44816,0,3902862,22
7,1,2,0,3990356,52582,4224,0,3937674,17
7,2,2,0,3985843,49496,5741,0,3936157,16
7,3,2,0,3971384,52584,23262,0,3918636,17
7,4,2,0,3994818,46401,6621,0,3948180,15
8,1,2,0,3930436,46401,70938,0,3883872,15
8,2,2,0,3952681,46401,48676,0,3906134,15
8,3,2,0,4236956,49489,54486,286953,3900324,16
8,4,2,0,3997823,49491,6621,0,3948189,16
9,1,2,0,3995870,53369,5317,0,3942312,15
9,2,2,0,3958795,40111,29132,0,3918488,12
9,3,2,0,3997607,61547,11705,0,3935924,17
9,4,2,0,3985080,46185,8841,0,3938779,13
10,1,2,0,3992260,45725,2070,0,3946298,13
10,2,2,0,4026576,84261,26839,20479,3921529,22
10,3,2,0,3987167,58811,20268,0,3928100,14
10,4,2,0,3992207,46404,2750,0,3945618,14
11,1,2,0,4019007,52580,0,0,3967141,17
11,2,2,0,4113329,64956,0,82007,3967141,21
11,3,2,0,3975273,37121,28234,0,3938907,12
11,4,2,0,4007862,69569,28140,0,3939001,22
1,1,3,1,3923637,102740,144160,0,3820905,30
1,2,3,1,3978375,71226,62765,4779,3902300,21
1,3,3,1,3954732,75841,86184,0,3878881,23
1,4,3,1,4145302,89804,39648,129958,3925417,26
2,1,3,1,4175720,106545,148455,240167,3828898,31
2,2,3,1,4396104,91573,44974,372349,3932379,29
2,3,3,1,4222941,88529,99755,257125,3877598,28
2,4,3,1,4007359,110516,144477,64284,3832876,34
3,1,3,1,3918256,55788,53368,0,3862634,18
3,2,3,1,4033287,76297,7306,48321,3908696,24
3,3,3,1,3910841,85472,90618,0,3825384,27
3,4,3,1,4041838,92769,61441,94596,3854561,30
4,1,3,1,4032218,80407,36405,38688,3913129,26
4,2,3,1,3914267,88035,123245,0,3826289,28
4,3,3,1,4165763,95869,50821,171329,3898713,30
4,4,3,1,4106247,111351,169077,214352,3780457,35
5,1,3,1,3943646,71279,43757,0,3872473,21
5,2,3,1,3938244,104538,84284,560,3832334,33
5,3,3,1,3773677,68026,211030,0,3705588,22
5,4,3,1,3954835,92771,133763,79504,3782467,30
6,1,3,1,3995943,80412,32101,0,3915577,26
6,2,3,1,3988727,94701,68301,14693,3879377,29
6,3,3,1,4099572,80417,108205,178975,3839473,26
6,4,3,1,3931227,77320,93916,0,3853762,25
7,1,3,0,3986484,55661,10948,0,3930950,18
7,2,3,0,3977066,55646,19526,0,3922372,18
7,3,3,0,3976386,58763,23285,0,3918613,19
7,4,3,0,3954512,64931,64435,0,3890366,21
8,1,3,0,3897922,46366,102605,0,3852205,15
8,2,3,0,3969066,74202,77473,17910,3877337,24
8,3,3,0,4231221,52568,63680,286953,3891130,17
8,4,3,0,3990215,52576,16981,0,3937829,17
9,1,3,0,3980061,61539,29023,0,3918606,17
9,2,3,0,3942000,44199,50029,0,3897591,13
9,3,3,0,4010661,82011,19262,0,3928367,22
9,4,3,0,3984405,45196,8759,0,3938861,13
10,1,3,0,3960654,55003,43001,0,3905367,16
10,2,3,0,3999127,81166,30740,0,3917628,21
10,3,3,0,4030092,84193,66154,63342,3882214,21
10,4,3,0,4074199,99353,3582,29902,3944786,25
11,1,3,0,4002703,61848,25258,0,3941883,20
11,2,3,0,4098553,77317,264,55162,3966877,25
11,3,3,0,3958158,43295,51131,0,3916010,14
11,4,3,0,4248613,92682,29793,219954,3937348,29
