is_id_desc,s_start_x_f,s_end_x_f,query_id_f,q_start_f,q_end_f,s_start_y_f,s_end_y_f,alignment_length_f,evalue_f,IS_strand_f,is_match_length_f,is_ins_pos_f,is_matched_f,s_start_x_r,s_end_x_r,query_id_r,q_start_r,q_end_r,s_start_y_r,s_end_y_r,alignment_length_r,evalue_r,IS_strand_r,is_match_length_r,is_ins_pos_r,is_matched_r,_is_length,_same_strand,_range_overlap,_range_distance,_same_ins_pos,_detected_is_start,_detected_is_end,status,insert_id_f,target_locus_status_f,insert_id_r,target_locus_status_r
0,480095,476905,0_f,1,3190,480119,476929,3191,0.0,False,3090,480019,True,476806,479996,0_r,1,3190,476830,480020,3191,0.0,False,3090,476930,True,3191,True,3091,0,False,476930,480019,pristine,2,original,1,original
1,555698,552507,1_f,1,99,560670,560572,99,9.37e-45,False,-1,560570,False,552408,555599,1_r,1,98,552433,552530,98,3.27e-44,False,-2,552533,False,3192,True,0,8042,False,552533,560570,unknown,6,new,3,new
2,709689,706499,2_f,1,99,711560,711462,99,9.37e-45,False,-1,711460,False,706400,709590,2_r,1,98,711372,711469,98,3.27e-44,False,-2,711472,False,3191,True,7,0,True,711460,711472,simple_insertion,7,new,7,new
3,1185864,1190625,3_f,1,4761,1187742,1192502,4770,0.0,True,4661,1187842,True,1190724,1185963,3_r,1,99,1205466,1205564,99,1.4e-44,False,-1,1205566,False,4762,False,0,12964,False,1187842,1205566,unknown,8,original,10,new
4,1206882,1203691,4_f,1,99,1205654,1205556,99,9.37e-45,False,-1,1205554,False,1203592,1206783,4_r,1,3191,1192599,1189410,3191,0.0,True,3091,1192499,True,3192,False,0,12957,False,1192499,1205554,unknown,10,new,9,original
5,1406255,1409445,5_f,1,3190,1405025,1408215,3191,0.0,True,3090,1405125,True,1409544,1406354,5_r,1,3190,1408314,1405124,3191,0.0,True,3090,1408214,True,3191,True,3091,0,False,1405125,1408214,pristine,11,original,12,original
6,1505212,1500452,6_f,1,4760,1503991,1499231,4761,0.0,False,4660,1503891,True,1500353,1505113,6_r,1,4760,1499132,1503892,4761,0.0,False,4660,1499232,True,4761,True,4661,0,False,1499232,1503891,pristine,14,original,13,original
7,1679977,1676786,7_f,1,99,1675661,1675563,99,9.37e-45,False,-1,1675561,False,1676687,1679878,7_r,1,98,1675474,1675571,98,3.27e-44,False,-2,1675574,False,3192,True,8,0,True,1675561,1675574,simple_insertion,15,new,15,new
8,1957185,1960376,8_f,1,98,1952872,1952969,98,3.27e-44,True,-2,1952972,False,1960475,1957284,8_r,1,99,1953059,1952961,99,9.37e-45,True,-1,1952959,False,3192,True,8,0,True,1952959,1952972,simple_insertion,16,new,16,new
9,1993763,1998524,9_f,1,4761,1986350,1991110,4761,0.0,True,4661,1986450,True,1998623,1993862,9_r,1,4761,1991209,1986449,4761,0.0,True,4661,1991109,True,4762,True,4661,0,False,1986450,1991109,pristine,17,original,18,original
10,2318655,2313894,10_f,1,4761,2311247,2306487,4762,0.0,False,4661,2311147,True,2313795,2318556,10_r,1,4761,2306388,2311148,4762,0.0,False,4661,2306488,True,4762,True,4661,0,False,2306488,2311147,pristine,20,original,19,original
11,2668633,2671823,11_f,1,98,2661233,2661330,98,3.27e-44,True,-2,2661333,False,2671922,2668732,11_r,1,99,2665637,2665539,99,9.37e-45,True,-1,2665537,False,3191,True,0,4209,False,2661333,2665537,unknown,21,new,22,new
12,3383105,3379915,12_f,1,3190,3376836,3373646,3191,0.0,False,3090,3376736,True,3379816,3383006,12_r,1,3190,3373547,3376737,3191,0.0,False,3090,3373647,True,3191,True,3091,0,False,3373647,3376736,pristine,24,original,23,original
13,3710770,3715531,13_f,1,98,3704509,3704606,98,4.89e-44,True,-2,3704609,False,3715630,3710869,13_r,1,100,3704696,3704597,100,4.01e-45,True,0,3704596,False,4762,True,9,0,True,3704596,3704609,simple_insertion,25,new,25,new
14,3877360,3880550,14_f,1,3190,3866432,3869621,3191,0.0,True,3090,3866532,True,3880649,3877459,14_r,1,3190,3869720,3866531,3191,0.0,True,3090,3869620,True,3191,True,3090,0,False,3866532,3869620,pristine,26,original,27,original
15,3974918,3979679,15_f,1,4761,3963996,3968754,4761,0.0,True,4661,3964096,True,3979778,3975017,15_r,1,4761,3968853,3964095,4761,0.0,True,4661,3968753,True,4762,True,4659,0,False,3964096,3968753,pristine,28,original,29,original
