group,start,end,depth,length,start_fix,end_fix,is_start,is_end
1,1,548975,1.0,548975,1,552068,-1,3
2,548976,554385,0.0,5410,552069,560571,3,6
3,554386,1656407,1.0,1102022,560572,1675021,6,17
4,1656408,1657802,0.0,1395,1675022,1676416,17,18
5,1657803,1768871,1.0,111069,1676417,1787485,18,21
6,1768872,1769466,0.0,595,1787486,1788080,21,22
7,1769467,1815841,1.0,46375,1788081,1834455,22,23
8,1815842,1904307,0.0,88466,1834456,1922921,23,24
9,1904308,2191251,1.0,286944,1922922,2214528,24,30
10,2191252,2202360,0.0,11109,2214529,2225637,30,31
11,2202361,2283209,1.0,80849,2225638,2311149,31,32
12,2283210,2291514,0.0,8305,2311150,2319454,32,34
13,2291515,2374568,1.0,83054,2319455,2402508,34,35
14,2374569,2379053,0.0,4485,2402509,2406993,35,36
15,2379054,2633391,1.0,254338,2406994,2661331,36,37
16,2633392,2639187,0.0,5796,2661332,2667127,37,38
17,2639188,3039318,1.0,400131,2667128,3067258,38,41
18,3039319,3057756,0.0,18438,3067259,3085696,41,42
19,3057757,3673573,1.0,615817,3085697,3704606,42,45
20,3673574,3673734,0.0,161,3704607,3704767,45,46
21,3673735,3965065,1.0,291331,3704768,4003851,46,-1
