is_id_desc,flank_id,s_start_x,s_end_x,flank,subject_id,query_id,q_start,q_end,s_start_y,s_end_y,alignment_length,evalue,IS_strand,is_match_length,is_ins_pos
0,0_r,476825,480016,r,L01-1_G08_polish_fix,0_r,1,3191,476814,480004,3192,0.0,False,3091,476914
0,0_f,480115,476924,f,L01-1_G08_polish_fix,0_f,1,3191,480103,476914,3191,0.0,False,3091,480003
1,1_r,551965,555156,r,L01-1_G08_polish_fix,1_r,1,98,551956,552053,98,3.31e-44,False,-2,552056
1,1_f,555255,552064,f,L01-1_G08_polish_fix,1_f,1,3191,555707,552517,3191,0.0,False,3091,555607
2,2_r,705959,709150,r,L01-1_G08_polish_fix,2_r,1,3191,706411,709600,3191,0.0,False,3091,706511
2,2_f,709249,706058,f,L01-1_G08_polish_fix,2_f,1,3191,709699,706510,3191,0.0,False,3091,709599
3,3_f,1062128,1065319,f,L01-1_G08_polish_fix,3_f,1,101,1062588,1062688,101,7.78e-46,True,1,1062688
3,3_r,1065418,1062227,r,L01-1_G08_polish_fix,3_r,1,99,1062775,1062677,99,9.48e-45,True,-1,1062675
4,4_f,1188521,1193279,f,L01-1_G08_polish_fix,4_f,1,4758,1185882,1190642,4761,0.0,True,4658,1185982
4,4_r,1193378,1188620,r,L01-1_G08_polish_fix,4_r,1,99,1390164,1390262,99,1.4200000000000001e-44,False,-1,1390264
5,5_f,1376631,1379821,f,L01-1_G08_polish_fix,5_f,1,3190,1206898,1203708,3191,0.0,False,3090,1206798
5,5_r,1379920,1376730,r,L01-1_G08_polish_fix,5_r,1,3190,1203608,1206799,3192,0.0,False,3090,1203708
6,6_r,1392786,1395976,r,L01-1_G08_polish_fix,6_r,1,3190,1190740,1187550,3191,0.0,True,3090,1190640
6,6_f,1396075,1392885,f,L01-1_G08_polish_fix,6_f,1,99,1390352,1390254,99,9.48e-45,False,-1,1390252
7,7_f,1412000,1415191,f,L01-1_G08_polish_fix,7_f,1,3191,1406280,1409469,3191,0.0,True,3091,1406380
7,7_r,1415290,1412099,r,L01-1_G08_polish_fix,7_r,1,3191,1409568,1406379,3191,0.0,True,3091,1409468
8,8_r,1506099,1510860,r,L01-1_G08_polish_fix,8_r,1,4761,1500378,1505137,4762,0.0,False,4661,1500478
8,8_f,1510959,1506198,f,L01-1_G08_polish_fix,8_f,1,4761,1505236,1500477,4762,0.0,False,4661,1505136
9,9_r,1681883,1685073,r,L01-1_G08_polish_fix,9_r,1,99,1676164,1676262,99,9.48e-45,False,-1,1676264
9,9_f,1685172,1681982,f,L01-1_G08_polish_fix,9_f,1,99,1680858,1680760,99,9.48e-45,False,-1,1680758
10,10_r,1750751,1753941,r,L01-1_G08_polish_fix,10_r,1,98,1746443,1746540,98,3.31e-44,False,-2,1746543
10,10_f,1754040,1750850,f,L01-1_G08_polish_fix,10_f,1,100,1746630,1746531,100,2.72e-45,False,0,1746530
11,11_r,1782470,1785661,r,L01-1_G08_polish_fix,11_r,1,98,1775064,1775161,98,3.31e-44,False,-2,1775164
11,11_f,1785760,1782569,f,L01-1_G08_polish_fix,11_f,1,99,1775251,1775153,99,9.48e-45,False,-1,1775151
12,12_f,1802244,1805435,f,L01-1_G08_polish_fix,12_f,1,98,1791736,1791833,98,3.31e-44,True,-2,1791836
12,12_r,1805534,1802343,r,L01-1_G08_polish_fix,12_r,1,99,1792527,1792429,99,9.48e-45,True,-1,1792427
13,13_r,1851705,1854895,r,L01-1_G08_polish_fix,13_r,1,98,1838705,1838802,98,3.31e-44,False,-2,1838805
13,13_f,1854994,1851804,f,L01-1_G08_polish_fix,13_f,1,99,1927364,1927266,99,9.48e-45,False,-1,1927264
14,14_f,1884842,1888029,f,L01-1_G08_polish_fix,14_f,1,3187,1957219,1960409,3191,0.0,True,3087,1957319
14,14_r,1888128,1884941,r,L01-1_G08_polish_fix,14_r,1,3187,1960508,1957318,3191,0.0,True,3087,1960408
15,15_f,1921416,1924606,f,L01-1_G08_polish_fix,15_f,1,3190,1993798,1996989,3192,0.0,True,3090,1993898
15,15_r,1924705,1921515,r,L01-1_G08_polish_fix,15_r,1,3190,2035238,2032048,3191,0.0,True,3090,2035138
16,16_r,2063373,2066564,r,L01-1_G08_polish_fix,16_r,1,106,2173912,2174017,106,3.31e-44,False,6,2174012
16,16_f,2066663,2063472,f,L01-1_G08_polish_fix,16_f,1,99,2174099,2174001,99,9.48e-45,False,-1,2173999
17,17_f,2110088,2113278,f,L01-1_G08_polish_fix,17_f,1,98,2217526,2217623,98,3.31e-44,True,-2,2217626
17,17_r,2113377,2110187,r,L01-1_G08_polish_fix,17_r,1,99,2217713,2217615,99,9.48e-45,True,-1,2217613
18,18_f,2154120,2158880,f,L01-1_G08_polish_fix,18_f,1,99,2258456,2258554,99,1.4200000000000001e-44,True,-1,2258556
18,18_r,2158979,2154219,r,L01-1_G08_polish_fix,18_r,1,4760,2350414,2355174,4761,0.0,False,4660,2350514
19,19_r,2239625,2242816,r,L01-1_G08_polish_fix,19_r,1,98,2269761,2269664,98,3.31e-44,True,-2,2269661
19,19_f,2242915,2239724,f,L01-1_G08_polish_fix,19_f,1,99,2363580,2363482,99,9.48e-45,False,-1,2363480
20,20_r,2325766,2328957,r,L01-1_G08_polish_fix,20_r,1,98,2446435,2446532,98,3.31e-44,False,-2,2446535
20,20_f,2329056,2325865,f,L01-1_G08_polish_fix,20_f,1,99,2451118,2451020,99,9.48e-45,False,-1,2451018
21,21_f,2583187,2586378,f,L01-1_G08_polish_fix,21_f,1,3191,2705260,2708449,3191,0.0,True,3091,2705360
21,21_r,2586477,2583286,r,L01-1_G08_polish_fix,21_r,1,100,2710136,2710037,100,2.72e-45,True,0,2710036
22,22_r,2734350,2737541,r,L01-1_G08_polish_fix,22_r,1,98,2858009,2858106,98,3.31e-44,False,-2,2858109
22,22_f,2737640,2734449,f,L01-1_G08_polish_fix,22_f,1,99,2858196,2858098,99,9.48e-45,False,-1,2858096
23,23_r,2976734,2979924,r,L01-1_G08_polish_fix,23_r,1,98,3097294,3097391,98,3.31e-44,False,-2,3097394
23,23_f,2980023,2976833,f,L01-1_G08_polish_fix,23_f,1,99,3110064,3110162,99,9.48e-45,True,-1,3110164
24,24_f,2992606,2997916,f,L01-1_G08_polish_fix,24_f,1,98,3097480,3097383,98,5.52e-44,False,-2,3097380
24,24_r,2998015,2992705,r,L01-1_G08_polish_fix,24_r,1,99,3128699,3128601,99,1.58e-44,True,-1,3128599
25,25_r,3285755,3288945,r,L01-1_G08_polish_fix,25_r,1,3190,3416451,3419640,3191,0.0,False,3090,3416551
25,25_f,3289044,3285854,f,L01-1_G08_polish_fix,25_f,1,3190,3419739,3416550,3191,0.0,False,3090,3419639
