# `Flank`: The 5' or 3' sequence of IS mapped to MDS42; `Clustered_Locus`: The ID of the locus where the IS is mapped to identify flanking sequences that are inserted to identical locus with only < 20 bp gap; `matched_row.XX`: Matched position is found in XX generation. IF NA, no match is found.
Line,Gen,IS_ID,IS_strand,Flank,Pos,Clustered_Locus,New,Simple,matched_row.prev,matched_row.facs
L01-1,FACS,0,FALSE,r,476936,2,New,Simple,NA,1
L01-1,FACS,0,FALSE,f,476923,2,New,Simple,NA,1
L01-1,FACS,1,FALSE,r,554076,4,New,Simple,NA,3
L01-1,FACS,1,FALSE,f,554063,4,New,Simple,NA,3
L01-1,FACS,2,TRUE,f,1181600,3,New,Complex,NA,5
L01-1,FACS,2,FALSE,r,1488330,13,New,Complex,NA,6
L01-1,FACS,3,FALSE,f,1275699,6,Preexisting,Complex,NA,7
L01-1,FACS,3,FALSE,r,1272611,5,Preexisting,Complex,NA,8
L01-1,FACS,4,TRUE,r,1181595,3,New,Complex,NA,5
L01-1,FACS,4,FALSE,f,1488995,8,New,Complex,NA,10
L01-1,FACS,5,TRUE,f,1971562,10,New,Complex,NA,11
L01-1,FACS,5,TRUE,r,1980792,7,New,Complex,NA,12
L01-1,FACS,6,FALSE,r,2296173,9,New,Simple,NA,13
L01-1,FACS,6,FALSE,f,2296160,9,New,Simple,NA,13
L01-1,FACS,7,FALSE,r,3358694,1,New,Simple,NA,15
L01-1,FACS,7,FALSE,f,3358681,1,New,Simple,NA,15
L01-1,FACS,8,TRUE,f,3848476,0,New,Simple,NA,17
L01-1,FACS,8,TRUE,r,3848463,0,New,Simple,NA,17
L01-1,FACS,9,TRUE,f,3943022,12,New,Complex,NA,19
L01-1,FACS,9,TRUE,r,3945327,11,New,Complex,NA,20
L01-1,MA08,0,FALSE,r,476936,6,New,Simple,1,1045
L01-1,MA08,0,FALSE,f,476923,6,New,Simple,1,1045
L01-1,MA08,1,FALSE,r,549440,15,New,Complex,NA,NA
L01-1,MA08,1,FALSE,f,554375,17,New,Complex,NA,NA
L01-1,MA08,2,FALSE,r,705287,10,New,Simple,NA,NA
L01-1,MA08,2,FALSE,f,705275,10,New,Simple,NA,NA
L01-1,MA08,3,TRUE,f,1181609,0,New,Complex,5,1049
L01-1,MA08,3,TRUE,r,1475264,7,New,Complex,NA,NA
L01-1,MA08,4,FALSE,r,1488332,21,New,Complex,6,1050
L01-1,MA08,4,TRUE,f,1475276,7,New,Complex,NA,NA
L01-1,MA08,5,FALSE,f,1275699,8,Preexisting,Complex,7,1051
L01-1,MA08,5,FALSE,r,1272611,9,Preexisting,Complex,8,1052
L01-1,MA08,6,TRUE,r,1181595,0,New,Complex,5,1049
L01-1,MA08,6,FALSE,f,1488995,11,New,Complex,10,1054
L01-1,MA08,7,FALSE,r,1660682,3,New,Simple,NA,NA
L01-1,MA08,7,FALSE,f,1660669,3,New,Simple,NA,NA
